,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2023-09-07T17:12:57.570-04:00, 0.302E+00,   0.30174, 0.39844E+01
      2,2023-09-07T17:12:57.637-04:00, 0.302E+00,   0.60348, 0.40312E+01
      3,2023-09-07T17:12:57.734-04:00, 0.302E+00,   0.90522, 0.40938E+01
      4,2023-09-07T17:12:57.832-04:00, 0.302E+00,   1.20695, 0.41250E+01
      5,2023-09-07T17:12:57.922-04:00, 0.302E+00,   1.50869, 0.41875E+01
      6,2023-09-07T17:12:57.998-04:00, 0.241E+00,   1.74988, 0.42656E+01
      7,2023-09-07T17:12:58.125-04:00, 0.196E+00,   1.94592, 0.43594E+01
      8,2023-09-07T17:12:58.245-04:00, 0.196E+00,   2.14196, 0.44219E+01
      9,2023-09-07T17:12:58.361-04:00, 0.148E+00,   2.28979, 0.45000E+01
     10,2023-09-07T17:12:58.442-04:00, 0.119E+00,   2.40885, 0.45469E+01
     20,2023-09-07T17:12:59.149-04:00, 0.669E-01,   3.31126, 0.52031E+01
     30,2023-09-07T17:12:59.704-04:00, 0.444E-01,   3.80100, 0.57031E+01
     40,2023-09-07T17:13:00.225-04:00, 0.444E-01,   4.24505, 0.61875E+01
     50,2023-09-07T17:13:01.006-04:00, 0.337E-01,   4.59572, 0.67969E+01
     60,2023-09-07T17:13:01.698-04:00, 0.278E-01,   4.92065, 0.73594E+01
     70,2023-09-07T17:13:02.159-04:00, 0.370E-01,   5.21895, 0.77500E+01
     80,2023-09-07T17:13:02.691-04:00, 0.327E-01,   5.57139, 0.82344E+01
     90,2023-09-07T17:13:03.192-04:00, 0.327E-01,   5.89802, 0.86719E+01
    100,2023-09-07T17:13:03.895-04:00, 0.359E-01,   6.23772, 0.92188E+01
    200,2023-09-07T17:13:09.637-04:00, 0.342E-01,   9.85188, 0.14375E+02
    300,2023-09-07T17:13:15.614-04:00, 0.389E-01,  13.56657, 0.19641E+02
    400,2023-09-07T17:13:21.301-04:00, 0.347E-01,  17.12951, 0.24812E+02
    500,2023-09-07T17:13:27.511-04:00, 0.364E-01,  20.68467, 0.30016E+02
    600,2023-09-07T17:13:33.593-04:00, 0.326E-01,  24.46904, 0.35250E+02
    700,2023-09-07T17:13:39.943-04:00, 0.320E-01,  28.16442, 0.40734E+02
    800,2023-09-07T17:13:45.812-04:00, 0.405E-01,  31.65549, 0.46016E+02
    900,2023-09-07T17:13:51.797-04:00, 0.424E-01,  35.31050, 0.51375E+02
   1000,2023-09-07T17:13:57.912-04:00, 0.400E-01,  39.12152, 0.56828E+02
   1100,2023-09-07T17:14:04.468-04:00, 0.285E-01,  42.94271, 0.62219E+02
   1200,2023-09-07T17:14:10.359-04:00, 0.361E-01,  46.59054, 0.67359E+02
   1300,2023-09-07T17:14:16.666-04:00, 0.357E-01,  50.30633, 0.73156E+02
   1400,2023-09-07T17:14:23.217-04:00, 0.409E-01,  54.05475, 0.78625E+02
   1500,2023-09-07T17:14:29.677-04:00, 0.425E-01,  58.08750, 0.84391E+02
   1552,2023-09-07T17:14:32.397-04:00, 0.253E-01,  60.00000, 0.86938E+02
