rxnID_yeast_model	genes_yeast_model	final_GPR	Uniport	SGD
r_1614	NAN	(YGL101W or  YBR242W)	https://www.uniprot.org/uniprot/P53144; https://www.uniprot.org/uniprot/P38331	https://www.yeastgenome.org/locus/S000000446; https://www.yeastgenome.org/locus/S000003069
r_1615	NAN	(YGL101W or  YBR242W)	https://www.uniprot.org/uniprot/P53144; https://www.uniprot.org/uniprot/P38331	https://www.yeastgenome.org/locus/S000000446; https://www.yeastgenome.org/locus/S000003069
r_1616	NAN	(YGL101W or  YBR242W)	https://www.uniprot.org/uniprot/P53144; https://www.uniprot.org/uniprot/P38331	https://www.yeastgenome.org/locus/S000000446; https://www.yeastgenome.org/locus/S000003069
r_1617	NAN	(YGL101W or  YBR242W)	https://www.uniprot.org/uniprot/P53144; https://www.uniprot.org/uniprot/P38331	https://www.yeastgenome.org/locus/S000000446; https://www.yeastgenome.org/locus/S000003069
r_4584	NAN	(YOR317W or YER015W or YMR246W or YIL009W)	https://www.uniprot.org/uniprot/P30624; https://www.uniprot.org/uniprot/P39518; https://www.uniprot.org/uniprot/P47912; https://www.uniprot.org/uniprot/P39002	https://www.yeastgenome.org/locus/S000005844; https://www.yeastgenome.org/locus/S000000817; https://www.yeastgenome.org/locus/S000004860; https://www.yeastgenome.org/locus/S000001271
r_4372	NAN	YGR247W	https://legacy.uniprot.org/uniprot/P53314	https://www.yeastgenome.org/locus/S000003479
r_4388	NAN	YGR247W	https://legacy.uniprot.org/uniprot/P53314	https://www.yeastgenome.org/locus/S000003479
r_4400	NAN	(YBR299W or YGR292W)	https://legacy.uniprot.org/uniprot/P38158; https://legacy.uniprot.org/uniprot/P53341	https://www.yeastgenome.org/locus/S000000503; https://www.yeastgenome.org/locus/S000003524
r_4412	NAN	YGR247W	https://legacy.uniprot.org/uniprot/P53314	https://www.yeastgenome.org/locus/S000003479
r_4420	NAN	(YBR299W or YGR292W)	https://legacy.uniprot.org/uniprot/P38158; https://legacy.uniprot.org/uniprot/P53341	https://www.yeastgenome.org/locus/S000000503; https://www.yeastgenome.org/locus/S000003524
r_4570	NAN	(YIL074C or YER081W)	https://legacy.uniprot.org/uniprot/P40510; https://legacy.uniprot.org/uniprot/P40054	https://www.yeastgenome.org/locus/S000001336; https://www.yeastgenome.org/locus/S000000883
r_1703	NAN	YKL024C	https://legacy.uniprot.org/uniprot/P15700	https://www.yeastgenome.org/locus/S000001507
r_1704	NAN	YKL024C	https://legacy.uniprot.org/uniprot/P15700	https://www.yeastgenome.org/locus/S000001507
r_1736	NAN	YDR196C	https://legacy.uniprot.org/uniprot/Q03941	https://www.yeastgenome.org/locus/S000002604
r_2026	NAN	YNR027W	https://legacy.uniprot.org/uniprot/P53727	https://www.yeastgenome.org/locus/S000005310
