standard,t,s[t],Pb64_0,s[Pb64_0],reference
Plesovice,337.13,0.18,18.18037,0,Slama et al. (2008)
Qinghu,159.5,0.1,18.4593,0,Li et al. (2013)
Penglai,4.4,0.05,18.69665,0,Li et al. (2010)
Temora,416.75,0.12,18.05283,0,Black et al. (2003)
91500,1066.01,0.305,16.95182,0,Wiedenbeck et al. (2004)
