,#,timestamp,dataset,subset,subsubset,run,random,method,metric:runtime,model,metric:accuracy,metric:clstime,error,metric:totaltime,name,key
0,0,-1,Brightkite,specific,specific,1,1,HL,5881000.0,MLP,0.96664,963000.0,False,6844000.0,HL-MLP,Brightkite-specific-1
1,0,-1,Brightkite,specific,specific,1,1,HL,5881000.0,RF,0.95711,1000.0,False,5882000.0,HL-RF,Brightkite-specific-1
2,0,-1,Brightkite,specific,specific,2,1,HL,6061000.0,MLP,0.9656600000000001,963000.0,False,7024000.0,HL-MLP,Brightkite-specific-2
3,0,-1,Brightkite,specific,specific,2,1,HL,6061000.0,RF,0.96152,1000.0,False,6062000.0,HL-RF,Brightkite-specific-2
4,0,-1,Brightkite,specific,specific,3,1,HL,6124000.0,MLP,0.94985,962000.0,False,7086000.0,HL-MLP,Brightkite-specific-3
5,0,-1,Brightkite,specific,specific,3,1,HL,6124000.0,RF,0.9394499999999999,1000.0,False,6125000.0,HL-RF,Brightkite-specific-3
6,0,-1,Brightkite,specific,specific,4,1,HL,5882000.0,MLP,0.9598,964000.0,False,6846000.0,HL-MLP,Brightkite-specific-4
7,0,-1,Brightkite,specific,specific,4,1,HL,5882000.0,RF,0.95352,1000.0,False,5883000.0,HL-RF,Brightkite-specific-4
8,0,-1,Brightkite,specific,specific,5,1,HL,6481000.0,MLP,0.96658,965000.0,False,7446000.0,HL-MLP,Brightkite-specific-5
9,0,-1,Brightkite,specific,specific,5,1,HL,6481000.0,RF,0.96068,1000.0,False,6482000.0,HL-RF,Brightkite-specific-5
10,0,-1,Brightkite,specific,specific,1,1,HpL,5821000.0,MLP,0.96801,2105000.0,False,7926000.0,HpL-MLP,Brightkite-specific-1
11,0,-1,Brightkite,specific,specific,1,1,HpL,5821000.0,RF,0.95848,2000.0,False,5823000.0,HpL-RF,Brightkite-specific-1
12,0,-1,Brightkite,specific,specific,2,1,HpL,5285000.0,MLP,0.9650700000000001,1925000.0,False,7210000.0,HpL-MLP,Brightkite-specific-2
13,0,-1,Brightkite,specific,specific,2,1,HpL,5285000.0,RF,0.95974,2000.0,False,5287000.0,HpL-RF,Brightkite-specific-2
14,0,-1,Brightkite,specific,specific,3,1,HpL,5340000.0,MLP,0.95474,2041000.0,False,7381000.0,HpL-MLP,Brightkite-specific-3
15,0,-1,Brightkite,specific,specific,3,1,HpL,5340000.0,RF,0.94679,2000.0,False,5342000.0,HpL-RF,Brightkite-specific-3
16,0,-1,Brightkite,specific,specific,4,1,HpL,5221000.0,MLP,0.96231,2100000.0,False,7321000.0,HpL-MLP,Brightkite-specific-4
17,0,-1,Brightkite,specific,specific,4,1,HpL,5221000.0,RF,0.95729,2000.0,False,5223000.0,HpL-RF,Brightkite-specific-4
18,0,-1,Brightkite,specific,specific,5,1,HpL,5705000.0,MLP,0.9692000000000001,2101000.0,False,7806000.0,HpL-MLP,Brightkite-specific-5
