,eq,detaG
0,C00256 + 2.0 C00125 <=> 2.0 C00126 + C00022,KeyError arised:'C00125'
1,C00256 + 2.0 C00125 <=> 2.0 C00126 + C00022,KeyError arised:'C00125'
2,C03044 + C00003 <=> C00810 + C00080 + C00004,15.78396993
3,C00186 + 2.0 C00125 <=> 2.0 C00126 + C00022,KeyError arised:'C00125'
4,C00029 <=> C00965 + C00080 + C00015,-677.1777589
5,C00029 <=> C02493 + C00080 + C00015,-736.5420135
6,C04896 <=> C04916,-50.99810742
7,C04322 + 2.0 C00001 + C00003 <=> C00080 + C00025 + C00004,53.85552595
8,C15650 + 3.0 C00001 <=> C01180 + C00058 + 6.0 C00080 + C00009,-163.8218139
9,C18910 + C00080 + C00001 <=> C04454 + C01342,-10.66862132
10,C01304 + C00080 + C00005 <=> C18910 + C00006,-73.24613487
11,C00109 + C00080 + C00022 <=> C06006 + C00011,-28.65141643
12,C01300 + C00002 <=> C04807 + C00020 + C00080,-17.08675946
13,C00322 + C00025 <=> C00026 + C00956,-0.478885209
14,C00966 + C00080 + C00005 <=> C00522 + C00006,-20.59974611
15,C00279 + C00001 + C00074 <=> C04691 + C00009,-74.78328314
16,C05803 + C00019 <=> C05804 + C00080 + C00021,37.28117568
17,C05802 + C00007 <=> C05803 + C00001,-396.2116556
18,C02631 + C00001 <=> C02504,11.33493623
19,C00141 + C00024 + C00001 <=> C02504 + C00010 + C00080,-34.33241229
20,C00141 + C00024 + C00001 <=> C02504 + C00010 + C00080,-34.33241229
21,C01180 + C00025 <=> C00026 + C00073,11.24966252
22,C01251 <=> C04002 + C00001,1.29356171
23,C00001 + C00036 + C00100 <=> C02225 + C00010 + C00080,-43.66707491
24,C04236 + C00080 <=> C00233 + C00011,-18.79044737
25,C04236 + C00080 <=> C00233 + C00011,-18.79044737
26,C00054 + C00001 <=> C00020 + C00009,0.257651161
27,C00575 + C00001 <=> C00020 + C00080,-41.86760684
28,C00968 + C00001 <=> C00360 + C00080,-39.00213644
29,C00943 + C00001 <=> C00080 + C00130,-41.87424498
30,C00942 + C00001 <=> C00144 + C00080,-41.83117452
31,C00941 + C00001 <=> C00055 + C00080,-41.87384709
32,C00199 <=> C15556 + C00058 + C00080,-103.2257067
33,C00944 <=> C02637 + C00001,-5.308003174
34,C04691 <=> C00944 + C00009,-99.09092008
35,C02934 + C00080 + C00005 <=> C00006 + C00836,-12.51205875
36,C00279 + C00001 + C00074 <=> C04691 + C00009,-74.78328314
37,C13425 + 0.5 C00007 <=> C05200,-146.5963874
38,C05313 + C00080 <=> C05802 + C00011,9.638859801
39,C03227 + C00001 <=> C00632 + C00080 + C00041,-39.27615264
40,C05260 + C00003 <=> C05261 + C00080 + C00004,24.64398499
41,C00632 + C00007 <=> C04409,-428.7346321
42,,
43,C04411 <=> C02631 + C00001,-18.17236953
44,C04411 + C00003 <=> C04236 + C00080 + C00004,25.79352095
45,,
46,C00141 + C00143 + C00001 <=> C00966 + C00101,-25.87180074
47,C00671 + C00080 <=> C02223 + C00011,-11.39371991
48,C03175 + C00074 <=> C01269 + C00009,-25.19115575
49,C00251 + C00064 <=> C11355 + C00025,-16.46649854
50,C11355 <=> C00568 + C00080 + C00022,-68.82874764
51,C00026 + C00334 <=> C00025 + C00232,6.11011712
52,C06055 + C00001 <=> C06056 + C00009,-12.16723211
53,C02949 + C00001 <=> C00156 + C00010 + C00080,-45.8153343
54,C00233 + C00080 <=> C07329 + C00011,-22.21811437
55,C11526 + C00001 <=> C00080 + C01204 + C00009,-73.64946682
56,,
57,C00170 + C00009 <=> C00147 + C04188,11.36921361
58,C00055 + C00001 <=> C00475 + C00009,-12.4681695
59,C00001 + C00130 <=> C00294 + C00009,-12.40133829
60,C00001 + C00105 <=> C00009 + C00299,-11.74484671
61,C04376 + C00002 + C00001 + C00064 <=> C04640 + C00008 + C00080 + C00025 + C00009,-107.0106593
62,C00143 + C00080 + C00005 <=> C00440 + C00006,-37.03579481
63,C00080 + C00037 + C00091 <=> C00430 + C00011 + C00010,-9.804267681
64,C11526 + C00001 <=> C00080 + C01204 + C00009,-73.64946682
65,C00002 + C01204 <=> C11526 + C00008,46.88985065
66,C03479 + C00002 <=> C00445 + C00008 + C00009,-58.17500921
67,C04489 + C00155 <=> C00073 + C04144,-35.23656876
68,C04582 <=> C15650 + C00001,-64.53511491
69,C04188 <=> C04582,-26.98373921
70,,
71,,
72,C00002 + C00085 <=> C00008 + C00665 + C00080,-0.040477398
73,C01236 + C00001 <=> C00345 + C00080,-21.59985759
74,C11526 + C00001 <=> C00080 + C01204 + C00009,-73.64946682
75,,
76,C00080 + C00041 + C01063 <=> C01092 + C00011 + C00010,-5.478956115
77,2.0 C00084 <=> C00810,-31.66923767
78,C00900 + C00080 + C00005 <=> C04272 + C00006,-13.82839929
79,C00080 + 2.0 C00022 <=> C00900 + C00011,-23.87794947
80,C00024 + C00229 <=> C03939 + C00010,KeyError arised:'C00229'
81,C16216 + C00010 <=> C00024 + C00154,-10.66920262
82,,
83,C05259 + C00010 <=> C00024 + C02593,-10.66920262
84,2.0 C00024 <=> C00332 + C00010,26.31133651
85,2.0 C00024 <=> C00332 + C00010,26.31133651
86,C05261 + C00010 <=> C00024 + C01832,-10.66920262
87,C05265 + C00010 <=> C00024 + C01944,-10.66920262
88,C05263 + C00010 <=> C00024 + C05274,-10.66920262
89,C00024 + C00002 + C00288 <=> C00008 + C00080 + C00083 + C00009,2.761590048
90,C00024 + C00002 + C00288 <=> C00008 + C00080 + C00083 + C00009,2.761590048
91,C00024 + C00001 <=> C00033 + C00010 + C00080,-30.30534371
92,C00033 + C00002 + C00010 <=> C00024 + C00020 + C00013,-4.533028549
93,C00033 + C00002 + C00010 <=> C00024 + C00020 + C00013,-4.533028549
94,C00033 + C00002 + C00010 <=> C00024 + C00020 + C00013,-4.533028549
95,C00002 + C00624 <=> C00008 + C04133,11.70813405
96,C00061 + C00001 <=> C00009 + C00255,-21.61530372
97,C02225 <=> C04593,-9.412853617
98,C01250 + C00025 <=> C00026 + C00437,-22.353882
99,C00010 + C00001 <=> C00054 + 2.0 C00080 + C01134,-67.96073948
100,C05274 + C00007 <=> C00027 + C05275,-93.10260904
101,C01832 + C00007 <=> C00027 + C03221,-93.10260904
102,,
103,C00007 + C00154 <=> C05272 + C00027,-93.10260904
104,C00007 + C00412 <=> C00027 + C16218,-93.10260904
105,C02593 + C00007 <=> C00027 + C05273,-93.10260904
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,C00147 + C00080 + C00001 <=> C01342 + C00262,-20.86210374
118,C00147 + C00119 <=> C00020 + C00013,-19.86207589
119,C00212 + C00080 + C00001 <=> C01342 + C00294,-23.62484654
120,C00212 + C00002 <=> C00008 + C00020 + C00080,-14.34220616
121,C00020 + C00080 + C00001 <=> C01342 + C00130,-23.64091826
122,C00001 + C00021 <=> C00212 + C00155,34.76398756
123,C00080 + C00019 <=> C00011 + C01137,-34.11050217
124,C01092 + C00019 <=> C01037 + C04425,4.617933854
125,C00002 <=> C00575 + C00013,7.02923458
126,C00020 + C00002 <=> 2.0 C00008,-2.70189737
127,C00020 + C00002 <=> 2.0 C00008,-2.70189737
128,C00020 + C00044 <=> C00008 + C00035,-2.737859048
129,C04823 <=> C04677 + C00122,12.32261321
130,C03794 <=> C00020 + C00122,8.056912083
131,C00044 + C00130 + C00049 <=> C03794 + C00035 + 2.0 C00080 + C00009,3.148158881
132,C00224 + C00002 <=> C00053 + C00008 + C00080,-27.11303893
133,C02353 + C00001 <=> C00946 + C00080,-70.39578777
134,C00048 + C00041 <=> C00037 + C00022,-11.25645973
135,C00002 + C00041 + C01635 <=> C00886 + C00020 + C00013,KeyError arised:'C01635'
136,,
137,C00024 + C00469 <=> C00010 + C00849,-20.85777385
138,C00024 + C07328 <=> C00010 + C12296,-15.69978095
139,,
140,C05853 + C00024 <=> C00010 + C12303,-19.50831355
141,C00469 + C00003 <=> C00084 + C00080 + C00004,21.72573607
142,C00577 + C00080 + C00005 <=> C00116 + C00006,-34.97650812
143,C00084 + C00080 + C00004 <=> C00469 + C00003,-21.72573607
144,,
145,,
146,,
147,C00080 + C00004 + C00601 <=> C05853 + C00003,-36.03484712
148,C00080 + C00004 + C00601 <=> C05853 + C00003,-36.03484712
149,C00080 + C00005 + C00601 <=> C05853 + C00006,-33.59422402
150,C02229 + C00001 + C00003 <=> C00099 + 2.0 C00080 + C00004,-22.86997762
151,C00084 + C00001 + C00006 <=> C00033 + 2.0 C00080 + C00005,-48.51349187
152,C00084 + C00001 + C00003 <=> C00033 + 2.0 C00080 + C00004,-46.07286878
153,C00084 + C00001 + C00006 <=> C00033 + 2.0 C00080 + C00005,-48.51349187
154,C00001 + C00637 + C00003 <=> 2.0 C00080 + C00954 + C00004,-14.53329242
155,C00001 + C00637 + C00006 <=> 2.0 C00080 + C00954 + C00005,-16.97391551
156,C00001 + C00637 + C00006 <=> 2.0 C00080 + C00954 + C00005,-16.97391551
157,C07329 + C00080 + C00004 <=> C07328 + C00003,-23.45546988
158,C07329 + C00080 + C00004 <=> C07328 + C00003,-23.45546988
159,C07329 + C00080 + C00005 <=> C07328 + C00006,-21.01484679
160,,
161,,
162,,
163,C00001 + C00003 + C00601 <=> 2.0 C00080 + C00004 + C07086,-14.53175018
164,C00080 + C00637 + C00004 <=> C00003 + C00955,9.828133241
165,C00080 + C00637 + C00004 <=> C00003 + C00955,9.828133241
166,C04895 + 3.0 C00001 <=> C04874 + 2.0 C00080 + 3.0 C00009,-59.9767715
167,C00499 + C00001 <=> C00086 + C05241,51.23791308
168,C01551 + C00001 <=> C00499 + C00080,2.434037891
169,3.0 C00080 + C00001 + C01010 <=> 2.0 C01342 + 2.0 C00011,-96.33065567
170,C05860 + C00096 + C00080 <=> C05861 + C00035,-26.59122242
171,C00001 + C01083 <=> 2.0 C00031,-12.45225169
172,C00001 + C01083 <=> 2.0 C00031,-12.45225169
173,C00092 + C00029 <=> C00689 + C00080 + C00015,-16.1066199
174,C00001 + C00208 <=> 2.0 C00031,-16.13949022
175,C03078 + C00001 <=> C01035 + C01342,-10.38132846
176,C01888 + C00001 + C00007 <=> C01342 + C00027 + C00546,-89.45904545
177,C00555 + C00001 + C00003 <=> C00334 + 2.0 C00080 + C00004,-20.97241939
178,C00108 + C00119 <=> C00013 + C04302,-95.38268918
179,C00251 + C00064 <=> C00108 + C00080 + C00025 + C00022,-65.59367605
180,C00001 + C01260 <=> 2.0 C00008 + 2.0 C00080,-39.5135375
181,C00080 + C00259 + C00005 <=> C00532 + C00006,-40.20218154
182,C00001 + C00062 <=> C01602 + C00086,-6.468895282
183,C03406 <=> C00122 + C00062,12.58948032
184,C00002 + C00049 + C00327 <=> C03406 + C00020 + C00013 + C00080,1.7232537
185,C00002 + C00062 + C01636 <=> C00020 + C02163 + C00013,KeyError arised:'C01636'
186,C00002 + C00062 + C01636 <=> C00020 + C02163 + C00013,KeyError arised:'C01636'
187,C00002 + C00001 + C00049 + C00064 <=> C00020 + C00013 + C00080 + C00152 + C00025,-30.00397096
188,C00002 + C00152 + C01637 <=> C00020 + C03402 + C00013,KeyError arised:'C01637'
189,C00002 + C00152 + C01637 <=> C00020 + C03402 + C00013,KeyError arised:'C01637'
190,C00169 + C00049 <=> C00080 + C00438 + C00009,-21.10309026
191,C00002 + C00049 <=> C03082 + C00008,18.13733766
192,C00026 + C00049 <=> C00025 + C00036,3.013234064
193,C00025 + C00036 <=> C00026 + C00049,-3.013234064
194,C00026 + C00049 <=> C00025 + C00036,3.013234064
195,C03082 + C00080 + C00005 <=> C00441 + C00006 + C00009,14.24604456
196,C00002 + C00049 + C01638 <=> C00020 + C02984 + C00013,KeyError arised:'C01638'
197,C00002 + C00049 + C01638 <=> C00020 + C02984 + C00013,KeyError arised:'C01638'
198,C00008 + C00002 + C00080 <=> C01260 + C00009,12.75392133
199,,
200,C00035 + C00044 + C00080 <=> C01261 + C00009,12.57511049
201,C00002 + C00119 <=> C02739 + C00013,-178.2241951
202,C00008 + 3.0 C00080 + C00009 <=> C00002 + 2.0 C00080 + C00001,26.75961617
203,C00002 + C00001 <=> C00008 + C00080 + C00009,-26.75961617
204,C00096 + C04537 <=> C05860 + C00035 + C00080,KeyError arised:'C04537'
205,C01909 + C00087 <=> C00120 + 2.0 C00080,-67.35441223
206,C00002 + C00120 + C00080 <=> C05921 + C00013,57.82443112
207,C11455 + C00080 + C00005 <=> C05108 + C00006,-5.266336265
208,C15780 + C00080 + C00005 + C00007 <=> C05440 + 2.0 C00001 + C00006,-406.4695706
209,,
210,C15808 + C00003 <=> C15816 + C00011 + C00004,-1.411945907
211,C15816 + C00080 + C00005 <=> C05103 + C00006,-10.59102936
212,,
213,,
214,,
215,,
216,,
217,C15777 + C00080 + C00005 + C00007 <=> C15780 + 2.0 C00001 + C00006,-420.6126164
218,C04525 <=> C15777,6.80617454
219,C05440 + C00080 + C00005 <=> C01694 + C00006,-45.08168986
220,C00156 + C04145 <=> C00013 + C03885,-91.7093878
221,2.0 C00002 + C00288 + C00001 + C00064 <=> 2.0 C00008 + C00169 + 2.0 C00080 + C00025 + C00009,-6.794948795
222,C00318 + C00024 <=> C00010 + C02571,-1.130923496
223,C00318 + C00024 <=> C00010 + C02571,-1.130923496
224,C00010 + C02571 <=> C00318 + C00024,1.130923496
225,2.0 C00027 <=> 2.0 C00001 + C00007,-194.7168856
226,2.0 C00027 <=> 2.0 C00001 + C00007,-194.7168856
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,C00461 + C00001 <=> C00033 + C00734 + C00080,KeyError arised:'C00461'
240,C00043 <=> C00461 + C00080 + C00015,KeyError arised:'C00461'
