,eq,detaG
241,C00002 + C00114 <=> C00008 + C00588 + C00080,-18.31283697
242,C00588 + C00063 + C00080 <=> C00307 + C00013,-1.263380255
243,C00251 <=> C00254,-127.3863977
244,C01269 <=> C00251 + C00009,-64.48417057
245,C00417 + C00001 <=> C00311,-0.741726588
246,C00448 + C00129 <=> C00013 + C00353,-93.90953572
247,C00353 + C00129 <=> C00013 + C04217,-93.90953572
248,C00129 + C04217 <=> C00013 + C01230,-93.90953572
249,C01230 + C00129 <=> C00013 + C04216,-93.90953572
250,C04216 + C00129 <=> C00013 + C04146,-93.90953572
251,C00129 + C04146 <=> C00013 + C04145,-93.90953572
252,C00129 + C04145 <=> C17432 + C00013,-93.90953572
253,C17432 + C00129 <=> C00013 + C03543,-126.0664337
254,C00129 + C03543 <=> C00013 + C05847,-3394.381155
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,C00024 + C00001 + C00036 <=> C00158 + C00010 + C00080,-34.84596923
266,C00024 + C00001 + C00036 <=> C00158 + C00010 + C00080,-34.84596923
267,C00158 <=> C00417 + C00001,8.327324209
268,C00158 <=> C00417 + C00001,8.327324209
269,C03263 + 2.0 C00080 + C00007 <=> 2.0 C00011 + 2.0 C00001 + C01079,-435.9381391
270,C00002 + C00001 + C00064 + C00075 <=> C00008 + C00063 + 2.0 C00080 + C00025 + C00009,-20.24163274
271,C01342 + C00002 + C00075 <=> C00008 + C00063 + 2.0 C00080 + C00009,-8.630523788
272,C00001 + C02291 <=> C01342 + C00155 + C00022,1.661909102
273,C00155 + C00065 <=> C00001 + C02291,-31.48910414
274,C00001 + C02291 <=> C00109 + C01342 + C00097,6.821937391
275,C00097 + C01077 <=> C00033 + C00080 + C02291,-79.10977087
276,C00283 + C00979 <=> C00033 + C00097,-50.47481839
277,C00002 + C00097 + C01639 <=> C00020 + C03125 + C00013,KeyError arised:'C01639'
278,C00475 + C00080 + C00001 <=> C01342 + C00299,-15.76237169
279,C00475 + C00044 <=> C00055 + C00035 + C00080,-14.32740835
280,2.0 C00080 + C01724 + 3.0 C00005 + 3.0 C00007 <=> C11455 + C00058 + 4.0 C00001 + 3.0 C00006,-1312.629999
281,C00380 + C00080 + C00001 <=> C01342 + C00106,-57.49520515
282,C00652 + C00007 <=> C06316 + C00080 + C00027,-97.34374222
283,C00216 + C00003 <=> C00652 + C00080 + C00004,-10.6531256
284,C00216 + C00006 <=> C00652 + C00080 + C00005,-13.09374869
285,C01094 <=> C00577 + C00111,17.5620098
286,C00794 + C00003 <=> C00095 + C00080 + C00004,13.06879755
287,C00239 + C00080 + C00001 <=> C01342 + C00365,-16.21770396
288,C00458 + C00080 + C00001 <=> C01342 + C00460,-17.81067826
289,C00559 + C00080 + C00001 <=> C05512 + C01342,-23.624287
290,C00881 + C00080 + C00001 <=> C00526 + C01342,-15.55331529
291,C00002 + C00362 <=> C00008 + C00361,-2.503554422
292,C00001 + C00315 + C17568 <=> C00555 + C00986 + C00390,-1334.844096
293,C01801 + C00002 <=> C00673 + C00008 + C00080,-14.36173387
294,C00882 + C00002 <=> C00008 + C00010 + C00080,3.601022382
295,C01037 + C00002 + C00011 <=> C00008 + C01909 + 3.0 C00080 + C00009,-82.27280316
296,,
297,,
298,,
299,,
300,C00415 + C00080 + C00005 <=> C00006 + C00101,-27.32264618
301,C00415 + C00080 + C00005 <=> C00006 + C00101,-27.32264618
302,C00921 + C00002 + C00025 <=> C00008 + C00415 + C00080 + C00009,-9.221869858
303,C04874 <=> C01300 + C00266,14.23323926
304,C05925 + C00001 <=> C04874 + C00009,-8.975090149
305,C00337 + C00001 <=> C00080 + C00438,-3.68772181
306,C01300 + C00568 <=> C00921 + C00001,-94.68373855
307,C04807 + C00568 <=> C00921 + C00013,-112.4353514
308,C04272 <=> C00141 + C00001,-45.69539146
309,C06007 <=> C00671 + C00001,-50.50282786
310,C00002 + C00184 <=> C00008 + C00111 + C00080,-10.38996689
311,C00129 + C00235 <=> C00013 + C00341,-88.8620433
312,C00236 <=> C01159 + C00080,-36.00238465
313,,
314,,
315,C04441 + C00019 <=> C04692 + C00080 + C00021,11.9121992
316,C00063 + C00381 + C00080 <=> C00112 + C00110,-16.98905917
317,C00110 + C00096 <=> C03862 + C00035 + C00080,42.74538861
318,C03862 <=> C00110 + C00464,KeyError arised:'C00464'
319,C00002 + C00364 <=> C00008 + C00363,-3.302203182
320,C00460 + C00001 <=> C00013 + C00365 + C00080,-33.42679302
321,C00001 + C00714 <=> C00333,KeyError arised:'C00714'
322,C00631 <=> C00001 + C00074,-4.179037283
323,C00002 + C00189 <=> C00008 + C00080 + C00346,-18.02166453
324,C00849 + C00001 <=> C00033 + C00469 + C00080,-9.447569867
325,C00965 + C00001 <=> C00031,648.6706648
326,C00448 + C00129 <=> C00353 + C00013,-93.90953572
327,C00002 + C00010 + C01571 <=> C00020 + C05274 + C00013,-4.081496867
328,C00002 + C00010 + C02679 <=> C00020 + C00013 + C01832,-4.081496867
329,C00002 + C00010 + C00249 <=> C00020 + C00013 + C00154,-4.081496867
330,C00002 + C00010 + C06423 <=> C00020 + C00013 + C01944,-4.071630064
331,C00002 + C00010 + C06424 <=> C00020 + C00013 + C02593,-4.081496867
332,C14818 + C02191 <=> C00032 + 2.0 C00080,80.92919409
333,2.0 C00126 + C00027 <=> 2.0 C00125 + 2.0 C00001,KeyError arised:'C00126'
334,C00126 + 1.266 C00080 + 0.25 C00007 <=> C00125 + 0.633 C00080 + 0.5 C00001,KeyError arised:'C00126'
335,2.0 C00125 + 1.266 C00080 + C00390 <=> 2.0 C00126 + 2.532 C00080 + C17568,KeyError arised:'C00125'
336,C00002 + C00061 + C00080 <=> C00013 + C00016,-12.83482502
337,C00061 + 2.0 C00080 + C00004 <=> C01847 + C00003,-23.18679181
338,C00061 + 2.0 C00080 + C00005 <=> C01847 + C00006,-20.74616872
339,C00067 + C00051 + C00003 <=> C00080 + C00004 + C01031,40.87306678
340,C00058 + C00003 <=> C00011 + C00004,-12.05375512
341,C00002 + C00058 + C00101 <=> C00234 + C00008 + C00009,-5.581022872
342,C00002 + C00058 + C00101 <=> C00234 + C00008 + C00009,-5.581022872
343,C00665 + C00001 <=> C00085 + C00009,-26.71913878
344,C00354 + C00001 <=> C00085 + C00009,-10.97118972
345,C00354 <=> C00111 + C00661,14.17519716
346,C00122 + C00001 <=> C00149,-3.411915126
347,C00122 + C00001 <=> C00149,-3.411915126
348,C00337 + C00122 <=> C00295 + C00042,-57.05925052
349,C01352 + C00122 <=> C00016 + C00080 + C00042,-51.52885175
350,C01352 + C00122 <=> C00016 + C00080 + C00042,-51.52885175
351,C00051 + C00041 <=> C01419 + C03738,25.58656727
352,C00002 + C00124 <=> C00008 + C00446 + C00080,-3.793447083
353,C00446 + C00080 + C00075 <=> C00013 + C00052,-10.13027915
354,C00002 + C00097 + C00025 <=> C00008 + C00080 + C00669 + C00009,-36.52418533
355,C00353 + C00129 <=> C00013 + C04217,-93.90953572
356,C00341 + C00129 <=> C00448 + C00013,-93.90953572
357,C00182 + C00001 <=> C00031,914.5731723
358,C00182 + C00001 <=> C00031,914.5731723
359,C00352 + C00001 <=> C01342 + C00085,2.259416217
360,C00092 + C00006 <=> C01236 + C00080 + C00005,-3.324542997
361,C00092 <=> C00085,0.876809783
362,C00002 + C00025 <=> C00008 + C03287,12.82527254
363,C00080 + C00025 <=> C00011 + C00334,-36.61088054
364,C00001 + C00025 + C00003 <=> C00026 + C01342 + C00080 + C00004,38.58088418
365,C00026 + C01342 + C00080 + C00005 <=> C00001 + C00025 + C00006,-36.14026108
366,C00026 + C00080 + C00064 + C00004 <=> 2.0 C00025 + C00003,-50.19199313
367,C00080 + C03287 + C00005 <=> C01165 + C00006 + C00009,-14.9639348
368,C00001 + C00064 <=> C01342 + C00025,-11.61110895
369,C01342 + C00002 + C00025 <=> C00008 + C00080 + C00064 + C00009,-15.14850722
370,C00085 + C00064 <=> C00352 + C00025,-13.87052517
371,C00002 + C00064 + C01640 <=> C00020 + C00013 + C02282,KeyError arised:'C01640'
372,C00002 + C00025 + C01641 <=> C00020 + C00013 + C02987,KeyError arised:'C01641'
373,C00002 + C00025 + C01641 <=> C00020 + C00013 + C02987,KeyError arised:'C01641'
374,C00127 + C00080 + C00005 <=> 2.0 C00051 + C00006,-17.18548856
375,C00127 + C00080 + C00005 <=> 2.0 C00051 + C00006,-17.18548856
376,2.0 C00051 + C00027 <=> C00127 + 2.0 C00001,-309.8438213
377,2.0 C00051 + C00027 <=> C00127 + 2.0 C00001,-309.8438213
378,C00002 + C00669 + C00037 <=> C00008 + C00051 + C00080 + C00009,-44.60927278
379,C00661 + C00003 + C00009 <=> C00236 + C00080 + C00004,15.78188443
380,C00116 + C00006 <=> C00184 + C00080 + C00005,23.28647946
381,C00002 + C00116 <=> C00008 + C00093 + C00080,-11.1466305
382,C00093 + C00001 <=> C00116 + C00009,-15.61298568
383,C00016 + C00093 + C00080 <=> C00111 + C01352,7.951822639
384,C00111 + C00080 + C00004 <=> C00093 + C00003,-26.48376616
385,C00111 + C00080 + C00004 <=> C00093 + C00003,-26.48376616
386,C00001 + C00670 <=> C00114 + C00093 + C00080,-27.35485065
387,C00234 + C03838 <=> C04376 + C00080 + C00101,29.27371489
388,C00010 + C03508 <=> C00024 + C00037,-24.77261367
389,C00037 + C00003 + C00101 <=> C00143 + C01342 + C00011 + C00004,24.45253488
390,C00065 + C00101 <=> C00143 + C00001 + C00037,-7.124779625
391,C00065 + C00101 <=> C00143 + C00001 + C00037,-7.124779625
392,,
393,C00579 + C00003 <=> C00080 + C00248 + C00004,6.111256814
394,C00037 + C02051 <=> C00011 + C01242,KeyError arised:'C02051'
395,C00080 + C01242 + C00101 <=> C00143 + C01342 + C02972,KeyError arised:'C01242'
396,C02972 + C00003 <=> C00080 + C02051 + C00004,KeyError arised:'C02972'
397,,
398,C00029 <=> C00182 + C00080 + C00015,-943.0802663
399,C00182 + C00009 <=> C00103,933.3565291
400,C00002 + C00037 + C01642 <=> C00020 + C00013 + C02412,KeyError arised:'C01642'
401,C00002 + C00001 + C00064 + C00655 <=> C00020 + C00013 + C00144 + 2.0 C00080 + C00025,-43.66598333
402,C01288 + C00001 <=> C04248 + C00033 + C00080,KeyError arised:'C01288'
403,,
404,,
405,,
406,,
407,,
408,C00044 + C00001 <=> C04895 + C00058 + C00080,-167.8875035
409,C00044 + 3.0 C00001 <=> C01304 + C00013 + C00058 + 2.0 C00080,-18.2816368
410,C00242 + C00080 + C00001 <=> C00385 + C01342,-4.748551202
411,C00242 + C00119 <=> C00013 + C00144,-24.80610972
412,C00002 + C00144 <=> C00008 + C00035,-2.551485522
413,C00131 + C00144 <=> C00206 + C00035,-2.55162326
414,C15672 + C00004 + C00007 <=> C00001 + C15670 + C00003,-446.0517171
415,C00448 + C00032 + C00001 <=> C00013 + C15672,-61.90688978
416,C05805 + C00080 + C00019 <=> C00021 + C00390,-1332.768993
417,C00002 + C00095 <=> C00008 + C00085 + C00080,-14.36135992
418,C00002 + C00031 <=> C00008 + C00092 + C00080,-14.35843564
419,C00002 + C00159 <=> C00008 + C00275 + C00080,-17.82258961
420,C00001 + C00860 + 2.0 C00003 <=> 3.0 C00080 + C00135 + 2.0 C00004,5.774672231
421,C00001 + C01100 <=> C00860 + C00009,-15.70013661
422,C01267 + C00025 <=> C00026 + C01100,7.605190185
423,C00002 + C00135 + C01643 <=> C00020 + C00013 + C02988,KeyError arised:'C01643'
424,C00002 + C00135 + C01643 <=> C00020 + C00013 + C02988,KeyError arised:'C01643'
425,C00135 + C00019 <=> C00080 + C01152 + C00021,7.025809843
426,C04002 + C00001 <=> C05662,5.205439946
427,C00026 + C00024 + C00001 <=> C00010 + C00080 + C01251,-41.5729003
428,C00155 + C00019 <=> C00080 + C00073 + C00021,-6.895034308
429,C05662 + C00003 <=> C00322 + C00011 + C00004,9.631004141
430,C00080 + C00441 + C00004 <=> C00263 + C00003,-25.27656467
431,C00080 + C00441 + C00005 <=> C00263 + C00006,-22.83594158
432,C00002 + C00263 <=> C00008 + C00080 + C01102,-17.08943994
433,C00024 + C00263 <=> C00010 + C01077,-15.68587066
434,C00080 + C00027 + C00342 <=> 2.0 C00001 + C00343,-315.3428845
435,C00080 + C00027 + C00342 <=> 2.0 C00001 + C00343,-315.3428845
436,C00080 + C00027 + C00342 <=> 2.0 C00001 + C00343,-315.3428845
437,C03451 + C00001 <=> C00256 + C00051 + C00080,-14.2362293
438,C03451 + C00001 <=> C00256 + C00051 + C00080,-14.2362293
439,C00156 + C01230 <=> C13425 + C00013,-91.7093878
440,C04294 + C00002 <=> C04327 + C00008 + C00080,-17.67952912
441,C00001 + 4.0 C00931 <=> 4.0 C01342 + C01024,-284.5504649
442,C00356 + 2.0 C00080 + 2.0 C00005 <=> C00418 + C00010 + 2.0 C00006,-18.87451781
443,C00332 + C00024 + C00001 <=> C00356 + C00010 + C00080,-35.23158514
444,C00332 + C00024 + C00001 <=> C00356 + C00010 + C00080,-35.23158514
445,C01279 + C00002 <=> C04556 + C00008 + C00080,-29.14240781
446,C00262 + C00119 <=> C00013 + C00130,-22.64089042
447,C04916 + C00064 <=> C04677 + C04666 + C00080 + C00025,-12.59784098
448,C04666 <=> C01267 + C00001,-85.05825688
449,C00001 + C00130 + C00003 <=> C00080 + C00004 + C00655,5.868998789
450,C01302 + C00080 <=> C03506 + C00011 + C00001,-18.8013921
451,C00080 + C00331 <=> C00011 + C00637,-22.43772116
452,C00013 + C00001 <=> C00080 + 2.0 C00009,-15.97896271
453,C00013 + C00001 <=> C00080 + 2.0 C00009,-15.97896271
454,C04734 <=> C00001 + C00130,79.21286944
455,C00002 + C01284 <=> C00008 + C00080 + C01204,-57.45220145
456,C01272 + C00002 <=> C00008 + C00080 + C01284,-34.08032752
457,C11555 + C00002 <=> C00008 + C00080 + C01284,-43.57966244
458,C01245 + C00002 <=> C11555 + C00008 + C00080,-31.88824767
459,C01245 + C00002 <=> C01272 + C00008 + C00080,-41.38758259
460,,
461,,
462,,
463,,
