,#,timestamp,dataset,subset,run,subsubset,random,method,model,metric:accuracy,metric:accuracyTopK5,metric:balanced_accuracy,metric:precision_macro,metric:recall_macro,metric:f1_macro,metric:clstime,error,metric:runtime,metric:candidates,metric:movelets,metric:avgFeatures,metric:maxSize,metric:nTrajectories,metric:maxTrajSize,metric:minTrajSize,metric:avgTrajSize,file,metric:maxFeatures,metric:minFeatures,metric:scored,metric:trajectoriesCompared,metric:trajectoriesPruned,metric:cls_time,name,key
0,0,2024-06-14 23:28:06.513803,FoursquareNYC,specific,1,space,1,Bituler,-,0.9642857142857144,1.0,0.9714285714285716,0.9623931623931624,0.96,0.9714285714285716,28301.2,False,28301.625,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/Bituler_space/model_bituler_summary.csv,,,,,,,Bituler--,FoursquareNYC-specific-1
1,1,2024-06-14 23:29:34.030449,FoursquareNYC,specific,1,poi,1,Bituler,-,1.0,1.0,1.0,1.0,1.0,1.0,263880.107,False,263880.512,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/Bituler_poi/model_bituler_summary.csv,,,,,,,Bituler--,FoursquareNYC-specific-1
2,2,2024-06-14 23:26:02.308699,FoursquareNYC,specific,1,specific,1,DeepeST,-,0.9642857142857144,1.0,0.95,0.958095238095238,0.975,0.95,42480.856,False,42481.286,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/DeepeST/model_deepest_summary.csv,,,,,,,DeepeST--,FoursquareNYC-specific-1
3,3,2024-06-15 14:48:03.114900,FoursquareNYC,specific,1,specific,1,Dodge,NN,0.7142857142857143,1.0,0.6814285714285715,0.6154545454545455,0.7714285714285714,0.6814285714285715,21310.369,False,927.0,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/Dodge/model_mmlp_summary.csv,,,,,,,Dodge-NN,FoursquareNYC-specific-1
4,4,2024-06-15 14:48:03.109155,FoursquareNYC,specific,1,specific,1,Dodge,RF,0.5357142857142857,1.0,0.4671428571428571,0.4570114942528736,0.8761904761904763,0.4671428571428571,470.923,False,927.0,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/Dodge/model_mrf_summary.csv,,,,,,,Dodge-RF,FoursquareNYC-specific-1
5,5,2024-06-15 14:48:03.120255,FoursquareNYC,specific,1,specific,1,Dodge,SVM,0.5714285714285714,1.0,0.4664285714285714,0.3937967914438502,0.7478632478632479,0.4664285714285714,7.241,False,927.0,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/Dodge/model_msvc_summary.csv,,,,,,,Dodge-SVM,FoursquareNYC-specific-1
6,6,2024-06-14 11:24:29.000000,FoursquareNYC,specific,1,specific,1,H,NN,0.9285714285714286,1.0,0.9,0.9111111111111112,0.96,0.9,20851.918,False,1437704.0,10395330.0,632.0,8.0,108.0,53.0,108.0,10.0,30.9811320754717,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/H/model_mmlp_summary.csv,,,568847.0,53.0,3.0,,H-NN,FoursquareNYC-specific-1
7,7,2024-06-14 11:24:29.000000,FoursquareNYC,specific,1,specific,1,H,RF,0.8571428571428571,1.0,0.8,0.8065162907268171,0.9204545454545456,0.8,429.345,False,1437704.0,10395330.0,632.0,8.0,108.0,53.0,108.0,10.0,30.9811320754717,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/H/model_mrf_summary.csv,,,568847.0,53.0,3.0,,H-RF,FoursquareNYC-specific-1
8,8,2024-06-14 11:24:29.000000,FoursquareNYC,specific,1,specific,1,H,SVM,0.9285714285714286,1.0,0.9,0.9111111111111112,0.96,0.9,15.319,False,1437704.0,10395330.0,632.0,8.0,108.0,53.0,108.0,10.0,30.9811320754717,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/H/model_msvc_summary.csv,,,568847.0,53.0,3.0,,H-SVM,FoursquareNYC-specific-1
9,9,2024-06-14 11:48:59.000000,FoursquareNYC,specific,1,specific,1,HL,NN,0.9642857142857144,1.0,0.95,0.9596638655462184,0.977777777777778,0.95,640250.746,False,15363.0,1721250.0,659.0,8.0,6.0,51.0,93.0,10.0,27.49019607843137,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/HL/model_mmlp_summary.csv,,,37895.0,51.0,5.0,,HL-NN,FoursquareNYC-specific-1
