,#,timestamp,dataset,subset,run,subsubset,random,method,model,metric:accuracy,metric:accuracyTopK5,metric:balanced_accuracy,metric:precision_macro,metric:recall_macro,metric:f1_macro,metric:clstime,error,metric:runtime,metric:candidates,metric:movelets,metric:avgFeatures,metric:maxSize,metric:nTrajectories,metric:maxTrajSize,metric:minTrajSize,metric:avgTrajSize,file,metric:maxFeatures,metric:minFeatures,metric:scored,metric:trajectoriesCompared,metric:trajectoriesPruned,metric:cls_time,name,key
10,10,2024-06-14 11:48:59.000000,FoursquareNYC,specific,1,specific,1,HL,RF,0.8571428571428571,1.0,0.8,0.8042063492063491,0.9155555555555556,0.8,417.775,False,15363.0,1721250.0,659.0,8.0,6.0,51.0,93.0,10.0,27.49019607843137,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/HL/model_mrf_summary.csv,,,37895.0,51.0,5.0,,HL-RF,FoursquareNYC-specific-1
11,11,2024-06-14 11:48:59.000000,FoursquareNYC,specific,1,specific,1,HL,SVM,1.0,1.0,1.0,1.0,1.0,1.0,15.347,False,15363.0,1721250.0,659.0,8.0,6.0,51.0,93.0,10.0,27.49019607843137,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/HL/model_msvc_summary.csv,,,37895.0,51.0,5.0,,HL-SVM,FoursquareNYC-specific-1
12,12,2024-06-14 12:11:03.000000,FoursquareNYC,specific,1,specific,1,Hp,NN,0.6071428571428571,1.0,0.6,0.6,0.6,0.6,21091.724,False,1363461.0,33418.0,775.0,8.0,93.0,39.0,93.0,10.0,20.743589743589745,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/Hp/model_mmlp_summary.csv,,,29167.0,39.0,17.0,,Hp-NN,FoursquareNYC-specific-1
13,13,2024-06-14 12:11:03.000000,FoursquareNYC,specific,1,specific,1,Hp,RF,0.5357142857142857,1.0,0.5,0.4666666666666666,0.5,0.5,455.4059999999999,False,1363461.0,33418.0,775.0,8.0,93.0,39.0,93.0,10.0,20.743589743589745,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/Hp/model_mrf_summary.csv,,,29167.0,39.0,17.0,,Hp-RF,FoursquareNYC-specific-1
14,14,2024-06-14 12:11:03.000000,FoursquareNYC,specific,1,specific,1,Hp,SVM,0.6071428571428571,1.0,0.6,0.6,0.6,0.6,18.648999999999997,False,1363461.0,33418.0,775.0,8.0,93.0,39.0,93.0,10.0,20.743589743589745,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/Hp/model_msvc_summary.csv,,,29167.0,39.0,17.0,,Hp-SVM,FoursquareNYC-specific-1
15,15,2024-06-14 12:00:00.000000,FoursquareNYC,specific,1,specific,1,HpL,NN,1.0,1.0,1.0,1.0,1.0,1.0,639893.7570000001,False,14441.0,31644.0,765.0,8.0,6.0,39.0,93.0,10.0,20.435897435897434,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/HpL/model_mmlp_summary.csv,,,27485.0,39.0,17.0,,HpL-NN,FoursquareNYC-specific-1
16,16,2024-06-14 12:00:00.000000,FoursquareNYC,specific,1,specific,1,HpL,RF,0.9642857142857144,1.0,0.95,0.9596638655462184,0.977777777777778,0.95,435.117,False,14441.0,31644.0,765.0,8.0,6.0,39.0,93.0,10.0,20.435897435897434,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/HpL/model_mrf_summary.csv,,,27485.0,39.0,17.0,,HpL-RF,FoursquareNYC-specific-1
17,17,2024-06-14 12:00:00.000000,FoursquareNYC,specific,1,specific,1,HpL,SVM,1.0,1.0,1.0,1.0,1.0,1.0,18.764,False,14441.0,31644.0,765.0,8.0,6.0,39.0,93.0,10.0,20.435897435897434,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/HpL/model_msvc_summary.csv,,,27485.0,39.0,17.0,,HpL-SVM,FoursquareNYC-specific-1
18,18,2024-06-14 12:34:14.000000,FoursquareNYC,specific,1,specific,1,HpLT66,NN,1.0,1.0,1.0,1.0,1.0,1.0,20099.085,False,109373.0,78632.0,773.0,8.0,6.0,39.0,93.0,10.0,20.435897435897434,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/HpLT66/model_mmlp_summary.csv,,,71786.0,39.0,17.0,,HpLT66-NN,FoursquareNYC-specific-1
19,19,2024-06-14 12:34:14.000000,FoursquareNYC,specific,1,specific,1,HpLT66,RF,1.0,1.0,1.0,1.0,1.0,1.0,434.517,False,109373.0,78632.0,773.0,8.0,6.0,39.0,93.0,10.0,20.435897435897434,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/HpLT66/model_mrf_summary.csv,,,71786.0,39.0,17.0,,HpLT66-RF,FoursquareNYC-specific-1
20,20,2024-06-14 12:34:14.000000,FoursquareNYC,specific,1,specific,1,HpLT66,SVM,1.0,1.0,1.0,1.0,1.0,1.0,18.205,False,109373.0,78632.0,773.0,8.0,6.0,39.0,93.0,10.0,20.435897435897434,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/HpLT66/model_msvc_summary.csv,,,71786.0,39.0,17.0,,HpLT66-SVM,FoursquareNYC-specific-1
21,21,2024-06-15 14:48:03.704925,FoursquareNYC,specific,1,specific,1,M,NN,0.75,1.0,0.7278571428571429,0.7254761904761905,0.7266666666666666,0.7278571428571429,20002.159,False,2406.0,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/M/model_mmlp_summary.csv,,,,,,,M-NN,FoursquareNYC-specific-1
22,22,2024-06-15 14:48:03.683906,FoursquareNYC,specific,1,specific,1,M,RF,0.7142857142857143,1.0,0.7092857142857143,0.7428571428571428,0.8176923076923076,0.7092857142857143,479.374,False,2406.0,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/M/model_mrf_summary.csv,,,,,,,M-RF,FoursquareNYC-specific-1
23,23,2024-06-15 14:48:03.725624,FoursquareNYC,specific,1,specific,1,M,SVM,0.75,1.0,0.7378571428571429,0.7433139409609998,0.7622222222222222,0.7378571428571429,9.641,False,2406.0,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/M/model_msvc_summary.csv,,,,,,,M-SVM,FoursquareNYC-specific-1
24,24,2024-06-15 14:48:02.806378,FoursquareNYC,specific,1,specific,1,MARC,-,0.9642857142857144,1.0,0.95,0.958095238095238,0.975,0.95,62890.762,False,62891.191,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/MARC/model_marc_summary.csv,,,,,,,MARC--,FoursquareNYC-specific-1
25,25,2024-06-15 14:48:03.607060,FoursquareNYC,specific,1,add_gru,1,MARC,-,0.7857142857142857,1.0,0.7528571428571429,0.7538461538461538,0.8600000000000001,0.7528571428571429,30597.984,False,30598.427,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/MARC_add_gru/model_marc_summary.csv,,,,,,,MARC--,FoursquareNYC-specific-1
26,26,2024-06-15 14:48:03.647365,FoursquareNYC,specific,1,150_average_gru,1,MARC,-,0.7142857142857143,1.0,0.6528571428571428,0.6247619047619049,0.8183333333333334,0.6528571428571428,41395.261,False,41395.663,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/MARC_150_average_gru/model_marc_summary.csv,,,,,,,MARC--,FoursquareNYC-specific-1
27,27,2024-06-15 14:48:03.411521,FoursquareNYC,specific,1,specific,1,MM,NN,1.0,1.0,1.0,1.0,1.0,1.0,20538.786,False,3397261.0,10091625.0,514.0,8.0,108.0,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/MM/model_mmlp_summary.csv,,,,,,,MM-NN,FoursquareNYC-specific-1
28,28,2024-06-15 14:48:03.393339,FoursquareNYC,specific,1,specific,1,MM,RF,1.0,1.0,1.0,1.0,1.0,1.0,433.42,False,3397261.0,10091625.0,514.0,8.0,108.0,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/MM/model_mrf_summary.csv,,,,,,,MM-RF,FoursquareNYC-specific-1
29,29,2024-06-15 14:48:03.429828,FoursquareNYC,specific,1,specific,1,MM,SVM,1.0,1.0,1.0,1.0,1.0,1.0,13.26,False,3397261.0,10091625.0,514.0,8.0,108.0,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/MM/model_msvc_summary.csv,,,,,,,MM-SVM,FoursquareNYC-specific-1
30,30,2024-06-15 14:48:01.875788,FoursquareNYC,specific,1,specific,1,MML,NN,1.0,1.0,1.0,1.0,1.0,1.0,21066.676,False,52063.0,1689375.0,596.0,8.0,6.0,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/MML/model_mmlp_summary.csv,,,,,,,MML-NN,FoursquareNYC-specific-1
31,31,2024-06-15 14:48:01.857987,FoursquareNYC,specific,1,specific,1,MML,RF,1.0,1.0,1.0,1.0,1.0,1.0,445.757,False,52063.0,1689375.0,596.0,8.0,6.0,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/MML/model_mrf_summary.csv,,,,,,,MML-RF,FoursquareNYC-specific-1
32,32,2024-06-15 14:48:01.893222,FoursquareNYC,specific,1,specific,1,MML,SVM,1.0,1.0,1.0,1.0,1.0,1.0,15.123,False,52063.0,1689375.0,596.0,8.0,6.0,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/MML/model_msvc_summary.csv,,,,,,,MML-SVM,FoursquareNYC-specific-1
33,33,2024-06-15 14:48:01.929913,FoursquareNYC,specific,1,specific,1,MMp,NN,0.9642857142857144,1.0,0.95,0.9596638655462184,0.977777777777778,0.95,21381.485999999997,False,9982.0,140250.0,175.0,,,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/MMp/model_mmlp_summary.csv,,,,,,,MMp-NN,FoursquareNYC-specific-1
34,34,2024-06-15 14:48:01.911757,FoursquareNYC,specific,1,specific,1,MMp,RF,0.9642857142857144,1.0,0.95,0.9596638655462184,0.977777777777778,0.95,429.693,False,9982.0,140250.0,175.0,,,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/MMp/model_mrf_summary.csv,,,,,,,MMp-RF,FoursquareNYC-specific-1
35,35,2024-06-15 14:48:01.947937,FoursquareNYC,specific,1,specific,1,MMp,SVM,0.9642857142857144,1.0,0.95,0.9596638655462184,0.977777777777778,0.95,6.9430000000000005,False,9982.0,140250.0,175.0,,,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/MMp/model_msvc_summary.csv,,,,,,,MMp-SVM,FoursquareNYC-specific-1
36,36,2024-06-15 14:48:01.999822,FoursquareNYC,specific,1,specific,1,MMpL,NN,0.9642857142857144,1.0,0.95,0.9596638655462184,0.977777777777778,0.95,21038.016,False,10391.0,140250.0,175.0,,,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/MMpL/model_mmlp_summary.csv,,,,,,,MMpL-NN,FoursquareNYC-specific-1
37,37,2024-06-15 14:48:01.982091,FoursquareNYC,specific,1,specific,1,MMpL,RF,0.9642857142857144,1.0,0.95,0.9596638655462184,0.977777777777778,0.95,423.581,False,10391.0,140250.0,175.0,,,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/MMpL/model_mrf_summary.csv,,,,,,,MMpL-RF,FoursquareNYC-specific-1
38,38,2024-06-15 14:48:02.017846,FoursquareNYC,specific,1,specific,1,MMpL,SVM,0.9642857142857144,1.0,0.95,0.9596638655462184,0.977777777777778,0.95,6.864,False,10391.0,140250.0,175.0,,,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/MMpL/model_msvc_summary.csv,,,,,,,MMpL-SVM,FoursquareNYC-specific-1
39,39,2024-06-15 14:48:03.923493,FoursquareNYC,specific,1,poi_1,1,NPOI,-,0.9285714285714286,1.0,0.9,0.9083333333333332,0.9555555555555556,0.9,,False,6741.509,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/NPOI_poi_1/poi_1/model_npoi_summary.csv,,,,,,3283.865,NPOI--,FoursquareNYC-specific-1
40,40,2024-06-15 14:48:02.447846,FoursquareNYC,specific,1,space_1,1,POI,-,0.9642857142857144,1.0,0.95,0.958095238095238,0.975,0.95,,False,18690.534,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/POI_space_1_2_3/space_1/model_poi_summary.csv,,,,,,6507.555,POI--,FoursquareNYC-specific-1
41,41,2024-06-15 14:48:02.473568,FoursquareNYC,specific,1,space_2,1,POI,-,0.8214285714285714,1.0,0.775,0.7340350877192983,0.9166666666666669,0.775,,False,18690.534,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/POI_space_1_2_3/space_2/model_poi_summary.csv,,,,,,3230.77,POI--,FoursquareNYC-specific-1
42,42,2024-06-15 14:48:02.499175,FoursquareNYC,specific,1,space_3,1,POI,-,0.6785714285714286,1.0,0.635,0.6247916334872856,0.8875,0.635,,False,18690.534,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/POI_space_1_2_3/space_3/model_poi_summary.csv,,,,,,3660.211,POI--,FoursquareNYC-specific-1
43,43,2024-06-15 14:48:02.523936,FoursquareNYC,specific,1,space_1_2_3,1,POI,-,0.9642857142857144,1.0,0.95,0.958095238095238,0.975,0.95,,False,18690.534,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/POI_space_1_2_3/space_1_2_3/model_poi_summary.csv,,,,,,4876.113,POI--,FoursquareNYC-specific-1
44,44,2024-06-15 14:48:03.383122,FoursquareNYC,specific,1,poi_1,1,POI,-,0.9285714285714286,1.0,0.9,0.9083333333333332,0.9555555555555556,0.9,,False,6494.629,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/POI_poi_1/poi_1/model_poi_summary.csv,,,,,,3115.0229999999997,POI--,FoursquareNYC-specific-1
45,45,2024-06-14 12:39:14.000000,FoursquareNYC,specific,1,specific,1,R,NN,1.0,1.0,1.0,1.0,1.0,1.0,21347.965,False,6412535.0,10523340.0,552.0,8.0,108.0,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/R/model_mmlp_summary.csv,,,1052347.0,,,,R-NN,FoursquareNYC-specific-1
46,46,2024-06-14 12:39:14.000000,FoursquareNYC,specific,1,specific,1,R,RF,0.9285714285714286,1.0,0.9214285714285716,0.9338217338217336,0.96,0.9214285714285716,429.97,False,6412535.0,10523340.0,552.0,8.0,108.0,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/R/model_mrf_summary.csv,,,1052347.0,,,,R-RF,FoursquareNYC-specific-1
47,47,2024-06-14 12:39:14.000000,FoursquareNYC,specific,1,specific,1,R,SVM,1.0,1.0,1.0,1.0,1.0,1.0,15.204,False,6412535.0,10523340.0,552.0,8.0,108.0,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/R/model_msvc_summary.csv,,,1052347.0,,,,R-SVM,FoursquareNYC-specific-1
48,48,2024-06-14 12:37:37.000000,FoursquareNYC,specific,1,specific,1,RL,NN,1.0,1.0,1.0,1.0,1.0,1.0,20268.035,False,68849.0,2121090.0,828.0,8.0,6.0,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/RL/model_mmlp_summary.csv,,,212120.0,,,,RL-NN,FoursquareNYC-specific-1
49,49,2024-06-14 12:37:37.000000,FoursquareNYC,specific,1,specific,1,RL,RF,1.0,1.0,1.0,1.0,1.0,1.0,452.401,False,68849.0,2121090.0,828.0,8.0,6.0,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/RL/model_mrf_summary.csv,,,212120.0,,,,RL-RF,FoursquareNYC-specific-1
50,50,2024-06-14 12:37:37.000000,FoursquareNYC,specific,1,specific,1,RL,SVM,1.0,1.0,1.0,1.0,1.0,1.0,21.048,False,68849.0,2121090.0,828.0,8.0,6.0,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/RL/model_msvc_summary.csv,,,212120.0,,,,RL-SVM,FoursquareNYC-specific-1
51,51,2024-06-14 18:46:10.000000,FoursquareNYC,specific,1,specific,1,SM,NN,0.9285714285714286,1.0,0.9,0.8977777777777778,0.935,0.9,20716.028,True,0.0,9693060.0,446.0,,,48.0,108.0,10.0,32.041666666666664,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/SM/model_mmlp_summary.csv,8.0,8.0,,,,,SM-NN,FoursquareNYC-specific-1
52,52,2024-06-14 18:46:10.000000,FoursquareNYC,specific,1,specific,1,SM,RF,0.8571428571428571,1.0,0.8,0.7336898395721925,0.8920634920634921,0.8,423.879,True,0.0,9693060.0,446.0,,,48.0,108.0,10.0,32.041666666666664,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/SM/model_mrf_summary.csv,8.0,8.0,,,,,SM-RF,FoursquareNYC-specific-1
53,53,2024-06-14 18:46:10.000000,FoursquareNYC,specific,1,specific,1,SM,SVM,0.8928571428571429,1.0,0.85,0.8254545454545454,0.9142857142857144,0.85,10.226,True,0.0,9693060.0,446.0,,,48.0,108.0,10.0,32.041666666666664,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/SM/model_msvc_summary.csv,8.0,8.0,,,,,SM-SVM,FoursquareNYC-specific-1
54,54,2024-06-14 18:07:44.000000,FoursquareNYC,specific,1,specific,1,SMD,NN,1.0,1.0,1.0,1.0,1.0,1.0,20028.372,False,2280305.0,1697632.0,524.0,,,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/SMD/model_mmlp_summary.csv,4.0,2.0,,,,,SMD-NN,FoursquareNYC-specific-1
55,55,2024-06-14 18:07:44.000000,FoursquareNYC,specific,1,specific,1,SMD,RF,1.0,1.0,1.0,1.0,1.0,1.0,415.998,False,2280305.0,1697632.0,524.0,,,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/SMD/model_mrf_summary.csv,4.0,2.0,,,,,SMD-RF,FoursquareNYC-specific-1
56,56,2024-06-14 18:07:44.000000,FoursquareNYC,specific,1,specific,1,SMD,SVM,1.0,1.0,1.0,1.0,1.0,1.0,10.25,False,2280305.0,1697632.0,524.0,,,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/SMD/model_msvc_summary.csv,4.0,2.0,,,,,SMD-SVM,FoursquareNYC-specific-1
57,57,2024-06-14 16:56:07.000000,FoursquareNYC,specific,1,specific,1,SML,NN,0.9642857142857144,1.0,0.95,0.958095238095238,0.975,0.95,19918.479000000003,False,4270161.0,1688610.0,595.0,,,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/SML/model_mmlp_summary.csv,8.0,8.0,,,,,SML-NN,FoursquareNYC-specific-1
58,58,2024-06-14 16:56:07.000000,FoursquareNYC,specific,1,specific,1,SML,RF,1.0,1.0,1.0,1.0,1.0,1.0,430.307,False,4270161.0,1688610.0,595.0,,,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/SML/model_mrf_summary.csv,8.0,8.0,,,,,SML-RF,FoursquareNYC-specific-1
59,59,2024-06-14 16:56:07.000000,FoursquareNYC,specific,1,specific,1,SML,SVM,0.9642857142857144,1.0,0.95,0.958095238095238,0.975,0.95,11.046,False,4270161.0,1688610.0,595.0,,,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/SML/model_msvc_summary.csv,8.0,8.0,,,,,SML-SVM,FoursquareNYC-specific-1
60,60,2024-06-14 16:16:53.000000,FoursquareNYC,specific,1,specific,1,SMLD,NN,1.0,1.0,1.0,1.0,1.0,1.0,20097.107,False,2328840.0,328678.0,597.0,,,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/SMLD/model_mmlp_summary.csv,4.0,2.0,,,,,SMLD-NN,FoursquareNYC-specific-1
61,61,2024-06-14 16:16:53.000000,FoursquareNYC,specific,1,specific,1,SMLD,RF,1.0,1.0,1.0,1.0,1.0,1.0,411.8049999999999,False,2328840.0,328678.0,597.0,,,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/SMLD/model_mrf_summary.csv,4.0,2.0,,,,,SMLD-RF,FoursquareNYC-specific-1
62,62,2024-06-14 16:16:53.000000,FoursquareNYC,specific,1,specific,1,SMLD,SVM,1.0,1.0,1.0,1.0,1.0,1.0,10.799,False,2328840.0,328678.0,597.0,,,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/SMLD/model_msvc_summary.csv,4.0,2.0,,,,,SMLD-SVM,FoursquareNYC-specific-1
63,63,2024-06-14 23:25:55.299261,FoursquareNYC,specific,1,specific,1,TRF,RF,0.8928571428571429,1.0,0.85,0.8447058823529412,0.94,0.85,256.367,False,256.76300000000003,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/TRF/model_trf_summary.csv,,,,,,,TRF-RF,FoursquareNYC-specific-1
64,64,2024-06-14 23:25:58.895823,FoursquareNYC,specific,1,specific,1,TXGB,-,0.2857142857142857,0.0,0.2,0.0888888888888888,0.8571428571428571,0.2,152.614,False,152.93499999999997,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/TXGB/model_txgb_summary.csv,,,,,,,TXGB--,FoursquareNYC-specific-1
65,65,2024-06-14 23:26:48.322154,FoursquareNYC,specific,1,poi,1,Tulvae,-,1.0,1.0,1.0,1.0,1.0,1.0,34561.081,False,34561.534,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/Tulvae_poi/model_tulvae_summary.csv,,,,,,,Tulvae--,FoursquareNYC-specific-1
66,66,2024-06-14 23:27:26.414467,FoursquareNYC,specific,1,space,1,Tulvae,-,1.0,1.0,1.0,1.0,1.0,1.0,36571.335,False,36571.768,,,,,,,,,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/Tulvae_space/model_tulvae_summary.csv,,,,,,,Tulvae--,FoursquareNYC-specific-1
67,67,2024-06-14 12:36:32.000000,FoursquareNYC,specific,1,specific,1,U,NN,0.8571428571428571,1.0,0.8,0.7550877192982457,0.9204545454545456,0.8,20657.56,False,6022.0,37539.0,1693.0,3.875,20.0,56.0,108.0,10.0,30.232142857142858,/Users/tarlisportela/Downloads/sample/results/FoursquareNYC/run1/U/model_mmlp_summary.csv,,,,,,,U-NN,FoursquareNYC-specific-1
