,feature_name
AVP,AVP
BCORL1,BCORL1
RBM47,RBM47
SMG7,SMG7
TTC38,TTC38
SPRY1,SPRY1
ZNF778,ZNF778
ITGB8,ITGB8
USP4,USP4
FANCD2,FANCD2
AHR,AHR
LINC01781,LINC01781
ERVK3-1,ERVK3-1
ATF4,ATF4
SMAP2,SMAP2
SSH3,SSH3
SGIP1,SGIP1
ANKRD28,ANKRD28
DDX39A,DDX39A
CEP19,CEP19
HNRNPA1L2,HNRNPA1L2
SLC16A13,SLC16A13
LTC4S,LTC4S
MT-ND3,MT-ND3
TIMP3,TIMP3
PRPF8,PRPF8
RPS15A,RPS15A
ATP1B3,ATP1B3
RASGRP4,RASGRP4
EIF4ENIF1,EIF4ENIF1
NFIL3,NFIL3
PRRT1,PRRT1
HMCES,HMCES
MMUT,MMUT
COL18A1,COL18A1
ANKS1B,ANKS1B
CHI3L2,CHI3L2
RTF2,RTF2
HIC1,HIC1
NUP58,NUP58
NPL,NPL
GKAP1,GKAP1
IL12RB1,IL12RB1
FGL2,FGL2
CASP5,CASP5
HEY2,HEY2
NKG7,NKG7
C1S,C1S
CYP2E1,CYP2E1
EZR,EZR
RNF14,RNF14
GASK1B,GASK1B
SLC27A2,SLC27A2
RIMS3,RIMS3
MGLL,MGLL
NUAK2,NUAK2
MGP,MGP
TRBV7-3,TRBV7-3
APC,APC
NT5C3A,NT5C3A
RPL36A,RPL36A
IGKV3-20,IGKV3-20
SH3BP5,SH3BP5
ABHD17C,ABHD17C
CDADC1,CDADC1
IRGM,IRGM
ARAP3,ARAP3
HTRA1,HTRA1
BCL2L11,BCL2L11
FAM8A1,FAM8A1
PHF21A,PHF21A
TRBV6-2,TRBV6-2
TMPRSS3,TMPRSS3
ABRA,ABRA
PATJ,PATJ
AMPD2,AMPD2
TMEM260,TMEM260
NLRP12,NLRP12
PRL,PRL
MGAT5,MGAT5
OLFML2B,OLFML2B
SPRED2,SPRED2
ACTN3,ACTN3
IGLV3-1,IGLV3-1
POLD4,POLD4
SLC25A39,SLC25A39
TSNARE1,TSNARE1
AIF1,AIF1
PHLDA1,PHLDA1
RPS6KB2,RPS6KB2
SH2D6,SH2D6
ALCAM,ALCAM
CCL3L3,CCL3L3
EPAS1,EPAS1
GCNA,GCNA
SCIN,SCIN
MYC,MYC
RACGAP1,RACGAP1
OSBPL2,OSBPL2
HTR2B,HTR2B
UPK3BL1,UPK3BL1
KDM4B,KDM4B
CNRIP1,CNRIP1
BTG3,BTG3
SGPP2,SGPP2
CD8A,CD8A
TGM2,TGM2
LGALS12,LGALS12
PLEKHG6,PLEKHG6
YPEL5,YPEL5
UBN1,UBN1
ACTB,ACTB
TANC1,TANC1
ADGRD1,ADGRD1
CRHBP,CRHBP
SERPINB10,SERPINB10
ACOT7,ACOT7
HBM,HBM
TARS2,TARS2
DUT,DUT
HK3,HK3
TTC22,TTC22
ANKRD34B,ANKRD34B
MAMLD1,MAMLD1
LCNL1,LCNL1
PRB3,PRB3
GNG7,GNG7
TACC3,TACC3
ABCC1,ABCC1
S100A10,S100A10
BCAS2,BCAS2
IGHG2,IGHG2
MFAP4,MFAP4
DONSON,DONSON
POLG,POLG
TRBV15,TRBV15
KLF2,KLF2
SMAD1,SMAD1
ZNF106,ZNF106
LGALS3BP,LGALS3BP
RCVRN,RCVRN
S100P,S100P
FHL2,FHL2
ZDHHC17,ZDHHC17
LINC01644,LINC01644
D2HGDH,D2HGDH
SMAD7,SMAD7
GLYATL2,GLYATL2
CDKN1C,CDKN1C
PLCB1,PLCB1
FUT7,FUT7
NTNG2,NTNG2
KMT5A,KMT5A
HMGB2,HMGB2
PITPNC1,PITPNC1
RBL2,RBL2
HSDL2,HSDL2
CPVL,CPVL
IGHV1-69D,IGHV1-69D
ZNF365,ZNF365
FKBP11,FKBP11
LRRC34,LRRC34
TMOD1,TMOD1
C5AR2,C5AR2
OLR1,OLR1
PTGS2,PTGS2
SH2D1B,SH2D1B
PELO,PELO
NCF4,NCF4
RNASE4,RNASE4
TAF11,TAF11
SHANK2,SHANK2
TCHH,TCHH
CTDSPL,CTDSPL
ITGB5,ITGB5
EVA1A,EVA1A
INSIG1,INSIG1
SLC24A3,SLC24A3
GYS1,GYS1
F2R,F2R
SPOP,SPOP
PRG2,PRG2
BEST4,BEST4
CCDC65,CCDC65
ZFYVE9,ZFYVE9
DRC7,DRC7
PBX2,PBX2
KLF6,KLF6
RAB3D,RAB3D
EBLN2,EBLN2
BAIAP2L1,BAIAP2L1
BNC2,BNC2
ZBTB7B,ZBTB7B
NMI,NMI
TMEM52B,TMEM52B
CEP55,CEP55
SLC26A5,SLC26A5
KLF10,KLF10
NLRP6,NLRP6
SGSM1,SGSM1
BNIP3L,BNIP3L
GJB6,GJB6
ACSBG1,ACSBG1
NEGR1,NEGR1
S100PBP,S100PBP
IGHV3-53,IGHV3-53
B3GNT5,B3GNT5
CKS2,CKS2
CSKMT,CSKMT
APLP2,APLP2
SMIM18,SMIM18
FNIP2,FNIP2
ADGRE3,ADGRE3
IL2,IL2
PROM1,PROM1
CHRNA10,CHRNA10
CADM2,CADM2
KIF22,KIF22
SNX13,SNX13
C4BPB,C4BPB
DNAJB4,DNAJB4
BAZ2B,BAZ2B
PTPN4,PTPN4
JUND,JUND
SEC14L5,SEC14L5
CD8B,CD8B
MECP2,MECP2
CA6,CA6
PRKCQ,PRKCQ
MLXIPL,MLXIPL
TYW1,TYW1
PLEKHG3,PLEKHG3
FAM217B,FAM217B
PRELP,PRELP
LINC02608,LINC02608
STXBP6,STXBP6
STRADB,STRADB
RGL4,RGL4
GPX2,GPX2
CA1,CA1
LRRC32,LRRC32
TDRP,TDRP
TPT1,TPT1
CLEC12A,CLEC12A
PPP4R1,PPP4R1
GYPE,GYPE
ZNF92,ZNF92
KCNAB2,KCNAB2
IP6K2,IP6K2
AP3B2,AP3B2
NAPB,NAPB
XCL1,XCL1
NUCB2,NUCB2
CD302,CD302
SLC35F2,SLC35F2
CETN2,CETN2
SPRED1,SPRED1
SEZ6,SEZ6
PTPN12,PTPN12
TNFSF15,TNFSF15
CDHR2,CDHR2
LYPD2,LYPD2
PLVAP,PLVAP
APEX2,APEX2
CHCHD6,CHCHD6
TXN,TXN
OLFML2A,OLFML2A
TRBV28,TRBV28
EPHX4,EPHX4
SULT1C2,SULT1C2
PTGER4,PTGER4
NFE2L2,NFE2L2
B4GALT6,B4GALT6
FABP3,FABP3
SRGAP2,SRGAP2
CLEC5A,CLEC5A
KCNH3,KCNH3
ATP1A2,ATP1A2
RASGRP3,RASGRP3
CBX1,CBX1
TMEM158,TMEM158
DSE,DSE
SGO2,SGO2
TSPAN5,TSPAN5
TSPAN4,TSPAN4
ERG,ERG
LAG3,LAG3
SLC15A4,SLC15A4
RNF213,RNF213
RXRA,RXRA
NUSAP1,NUSAP1
SMKR1,SMKR1
BORCS8,BORCS8
PKD1L1,PKD1L1
CISH,CISH
RASSF2,RASSF2
TYROBP,TYROBP
MANF,MANF
MMD,MMD
LINC01215,LINC01215
ACTA1,ACTA1
NEB,NEB
GSTM2,GSTM2
ASTL,ASTL
LEAP2,LEAP2
CPS1,CPS1
RP2,RP2
CREG1,CREG1
GDE1,GDE1
GNG8,GNG8
MRPL1,MRPL1
SPATA2L,SPATA2L
PLIN5,PLIN5
DENND2D,DENND2D
TLE6,TLE6
IL4,IL4
LTK,LTK
ATP13A3,ATP13A3
OGN,OGN
VCL,VCL
RECK,RECK
CYP1B1,CYP1B1
THSD1,THSD1
SLPI,SLPI
STAB1,STAB1
TBC1D19,TBC1D19
TNS1,TNS1
TRAV12-2,TRAV12-2
FAM83D,FAM83D
DST,DST
AOC2,AOC2
AMOTL1,AMOTL1
GCNT1,GCNT1
LMNA,LMNA
YWHAH,YWHAH
FAM193B,FAM193B
SECTM1,SECTM1
IGFBP6,IGFBP6
PF4,PF4
RBBP8,RBBP8
IVNS1ABP,IVNS1ABP
ENAH,ENAH
TPST1,TPST1
PIM1,PIM1
PRNP,PRNP
GXYLT1,GXYLT1
ACOX1,ACOX1
ZNF425,ZNF425
FOSL1,FOSL1
RHBDF2,RHBDF2
IGHG1,IGHG1
FBXO2,FBXO2
LINC01393,LINC01393
IGKV1-16,IGKV1-16
LY6K,LY6K
NR5A2,NR5A2
PPM1A,PPM1A
ESAM,ESAM
RNF212,RNF212
SUPV3L1,SUPV3L1
TMCC1,TMCC1
MSH6,MSH6
GRIN3B,GRIN3B
EXOC6B,EXOC6B
HLA-DMB,HLA-DMB
LINC00954,LINC00954
ZC3H8,ZC3H8
UBR2,UBR2
PLBD1,PLBD1
DPH1,DPH1
LINC02397,LINC02397
CLEC10A,CLEC10A
MICAL1,MICAL1
TRBC1,TRBC1
TMEM176A,TMEM176A
AKR1C2,AKR1C2
PCNA,PCNA
CLTCL1,CLTCL1
TNFSF8,TNFSF8
HSD17B12,HSD17B12
FBN1,FBN1
NAV3,NAV3
AMY2B,AMY2B
SP140,SP140
ABCA2,ABCA2
RERE,RERE
MYH11,MYH11
ADARB2,ADARB2
SNX9,SNX9
ZNF117,ZNF117
PHKA2,PHKA2
POU3F1,POU3F1
PDZD4,PDZD4
PAWR,PAWR
GPI,GPI
MAP1LC3A,MAP1LC3A
SLC25A34,SLC25A34
SMIM14,SMIM14
KCNJ13,KCNJ13
FPR3,FPR3
TKTL1,TKTL1
KIF13A,KIF13A
ASAH1,ASAH1
CHST12,CHST12
GP9,GP9
HOXB4,HOXB4
PLIN2,PLIN2
TPSAB1,TPSAB1
ALDOB,ALDOB
