,feature_name
TRIM63,TRIM63
NDC1,NDC1
NFATC2,NFATC2
UBE2S,UBE2S
SLC22A15,SLC22A15
CABP5,CABP5
OSER1,OSER1
GNAI1,GNAI1
ZNF584,ZNF584
HES1,HES1
FCRL2,FCRL2
BNIP3,BNIP3
MYZAP,MYZAP
ANPEP,ANPEP
LINC00402,LINC00402
KLHDC1,KLHDC1
RNF19A,RNF19A
ULK1,ULK1
CCNE2,CCNE2
CDC14A,CDC14A
DLGAP4,DLGAP4
LGALS2,LGALS2
GFI1,GFI1
FXR2,FXR2
P2RX5,P2RX5
HLA-DQA1,HLA-DQA1
NEK1,NEK1
AP1S3,AP1S3
NCKAP5L,NCKAP5L
ERN1,ERN1
CEACAM3,CEACAM3
LINC01973,LINC01973
CHIT1,CHIT1
BFSP2,BFSP2
SPATS2,SPATS2
SPTLC2,SPTLC2
RBM24,RBM24
B3GAT1,B3GAT1
IGFBP3,IGFBP3
LINC02084,LINC02084
BEND7,BEND7
AMPH,AMPH
GJC1,GJC1
CHML,CHML
PIWIL2,PIWIL2
FLT3,FLT3
LRRC74B,LRRC74B
IGFBP2,IGFBP2
SPIB,SPIB
SLC16A1,SLC16A1
BOLA2,BOLA2
LTA,LTA
PARVB,PARVB
PPM1N,PPM1N
JAK3,JAK3
FCN1,FCN1
ADRB1,ADRB1
DOCK7,DOCK7
MEG8,MEG8
TRAV21,TRAV21
LINC00943,LINC00943
DDX60L,DDX60L
CYFIP1,CYFIP1
NFASC,NFASC
FAM166B,FAM166B
GIMAP5,GIMAP5
CAVIN1,CAVIN1
SLC12A2,SLC12A2
NFKB2,NFKB2
MIB2,MIB2
USP39,USP39
TALDO1,TALDO1
CD5,CD5
ZFP36L1,ZFP36L1
SLC5A3,SLC5A3
TM4SF19,TM4SF19
PRMT9,PRMT9
LINC02422,LINC02422
XBP1,XBP1
HECW2,HECW2
AVIL,AVIL
LIPH,LIPH
ASB2,ASB2
CHI3L1,CHI3L1
SGMS1,SGMS1
TOM1,TOM1
ANK3,ANK3
CXCL11,CXCL11
PLPP5,PLPP5
ZBTB18,ZBTB18
BAHD1,BAHD1
DNMT3B,DNMT3B
KPTN,KPTN
MYBPC2,MYBPC2
ATF7IP2,ATF7IP2
MCM2,MCM2
P2RX7,P2RX7
LAPTM4B,LAPTM4B
HSPB1,HSPB1
BIRC5,BIRC5
KIF14,KIF14
PTGDR2,PTGDR2
PLPP1,PLPP1
MAP7D3,MAP7D3
CD68,CD68
TREML1,TREML1
RGL1,RGL1
TAOK1,TAOK1
ITGAX,ITGAX
DENND5A,DENND5A
LBR,LBR
SPRYD3,SPRYD3
CKB,CKB
ACKR3,ACKR3
HMG20A,HMG20A
XIST,XIST
ZNF608,ZNF608
TRBV12-3,TRBV12-3
LRRC26,LRRC26
ALKBH1,ALKBH1
CCPG1,CCPG1
DOK5,DOK5
TBP,TBP
ARVCF,ARVCF
NMUR1,NMUR1
RNPC3,RNPC3
NT5M,NT5M
FKBP2,FKBP2
LINC02848,LINC02848
VEPH1,VEPH1
FCGBP,FCGBP
RPL13A,RPL13A
ASCL2,ASCL2
KCNG1,KCNG1
RGCC,RGCC
LRP10,LRP10
C1QB,C1QB
LGALS9B,LGALS9B
NLRC4,NLRC4
TNFRSF13C,TNFRSF13C
ZFR2,ZFR2
ANKRD36C,ANKRD36C
DBH,DBH
AP4B1,AP4B1
RPH3A,RPH3A
FOSL2,FOSL2
FOXD2,FOXD2
ODF2L,ODF2L
DLL3,DLL3
CYP4B1,CYP4B1
ZBTB40,ZBTB40
SEMA3D,SEMA3D
CYP4F8,CYP4F8
ITPRID2,ITPRID2
MYL2,MYL2
MT1H,MT1H
RAB13,RAB13
TRAV23DV6,TRAV23DV6
MAFG,MAFG
CD7,CD7
CD209,CD209
RSF1,RSF1
TNF,TNF
CD200,CD200
PPP1R16B,PPP1R16B
AP1G1,AP1G1
FCGR2A,FCGR2A
LCK,LCK
LINC01127,LINC01127
AGMAT,AGMAT
GBF1,GBF1
PTTG1IP,PTTG1IP
LYL1,LYL1
SLC9A8,SLC9A8
RAB32,RAB32
CDO1,CDO1
BATF,BATF
IL2RA,IL2RA
RAB36,RAB36
EZH1,EZH1
TMEM38A,TMEM38A
HOXA10,HOXA10
KCND3,KCND3
SBK1,SBK1
TNFSF13B,TNFSF13B
ATP9A,ATP9A
EPHB1,EPHB1
FAM9C,FAM9C
FAM169A,FAM169A
WDR3,WDR3
KLRC3,KLRC3
EYS,EYS
EDN1,EDN1
IGKV1-27,IGKV1-27
ITGAL,ITGAL
IGHV5-10-1,IGHV5-10-1
IPCEF1,IPCEF1
PHC2,PHC2
ACY3,ACY3
ERO1B,ERO1B
CA8,CA8
SLC22A18AS,SLC22A18AS
BMP7,BMP7
PNPLA6,PNPLA6
PTPN7,PTPN7
ZMYND10,ZMYND10
CTSW,CTSW
CLK1,CLK1
PDGFRA,PDGFRA
CCL19,CCL19
MS4A4E,MS4A4E
HRH2,HRH2
TRDV2,TRDV2
PM20D1,PM20D1
MARCO,MARCO
DDIT4,DDIT4
MAST2,MAST2
GSR,GSR
S1PR1,S1PR1
RIPOR3,RIPOR3
PLXNB2,PLXNB2
MYO1E,MYO1E
SNX20,SNX20
LILRB2,LILRB2
CTSV,CTSV
TRBV6-6,TRBV6-6
SLAMF8,SLAMF8
MFAP5,MFAP5
RHOT2,RHOT2
AURKA,AURKA
WDR74,WDR74
LANCL3,LANCL3
PPP1R3D,PPP1R3D
LINC00996,LINC00996
DRC1,DRC1
LMO2,LMO2
SLITRK5,SLITRK5
RNF130,RNF130
TSNAX,TSNAX
MRPS6,MRPS6
BOK,BOK
COL7A1,COL7A1
GNAL,GNAL
ZNF429,ZNF429
TECPR2,TECPR2
MSL3,MSL3
DERL3,DERL3
LCP1,LCP1
TNFRSF13B,TNFRSF13B
ADAM8,ADAM8
CFDP1,CFDP1
STRBP,STRBP
KLF4,KLF4
MYO1C,MYO1C
MON2,MON2
HIP1R,HIP1R
ZNF462,ZNF462
EVI2B,EVI2B
EEF1G,EEF1G
LINC00221,LINC00221
NBPF20,NBPF20
HSPA4L,HSPA4L
ZNF627,ZNF627
SPDYE3,SPDYE3
SCIMP,SCIMP
LIMCH1,LIMCH1
ZDHHC3,ZDHHC3
HSPA1B,HSPA1B
MS4A4A,MS4A4A
RNF10,RNF10
PLAAT3,PLAAT3
TMCC2,TMCC2
CTSB,CTSB
EMP1,EMP1
RHEB,RHEB
CCL4L2,CCL4L2
NRCAM,NRCAM
F2RL3,F2RL3
MT-ND4,MT-ND4
TSPYL1,TSPYL1
TMPRSS11E,TMPRSS11E
PCOLCE,PCOLCE
ART4,ART4
LILRA5,LILRA5
MYO15B,MYO15B
XK,XK
AP1S2,AP1S2
CCNF,CCNF
CCRL2,CCRL2
FXYD3,FXYD3
YES1,YES1
ASPH,ASPH
ITGA1,ITGA1
MAB21L3,MAB21L3
ECE1,ECE1
HSP90AA1,HSP90AA1
TUBB6,TUBB6
FTH1,FTH1
SMIM5,SMIM5
UHRF2,UHRF2
PACSIN3,PACSIN3
TEX9,TEX9
TRBV27,TRBV27
PDE4B,PDE4B
CCDC191,CCDC191
ORM2,ORM2
ZNF283,ZNF283
IGHV1-2,IGHV1-2
MAN2A2,MAN2A2
CERS5,CERS5
CHIC1,CHIC1
TP53I11,TP53I11
S100A4,S100A4
PTCH2,PTCH2
GHET1,GHET1
CCDC28B,CCDC28B
LPL,LPL
TNPO2,TNPO2
LAMB1,LAMB1
KLB,KLB
CCDC184,CCDC184
LCN8,LCN8
VSTM2B,VSTM2B
OLFML3,OLFML3
FOLR3,FOLR3
CLCN5,CLCN5
IMPACT,IMPACT
HERC2,HERC2
MMP1,MMP1
COL6A2,COL6A2
STMN1,STMN1
PPARG,PPARG
RNF138,RNF138
TMEM98,TMEM98
SCAMP1-AS1,SCAMP1-AS1
TSPO2,TSPO2
STEAP1B,STEAP1B
ID1,ID1
ENPP5,ENPP5
AURKB,AURKB
MAP1A,MAP1A
GTF2IRD2,GTF2IRD2
HCAR1,HCAR1
PTPRR,PTPRR
UNC13A,UNC13A
MEG3,MEG3
ZBTB20-AS5,ZBTB20-AS5
ABCG1,ABCG1
CD99L2,CD99L2
ADAP2,ADAP2
SRPK1,SRPK1
CCL4,CCL4
CD69,CD69
PNMT,PNMT
ETV5,ETV5
HSPE1,HSPE1
CTPS1,CTPS1
ZBTB16,ZBTB16
CERCAM,CERCAM
LXN,LXN
RAB33A,RAB33A
ZNF33A,ZNF33A
PLXDC1,PLXDC1
TCEAL2,TCEAL2
TSPAN3,TSPAN3
JAG1,JAG1
TNFSF4,TNFSF4
NDRG2,NDRG2
MIIP,MIIP
HEY1,HEY1
GPD1,GPD1
DHCR24,DHCR24
FAM107B,FAM107B
AURKC,AURKC
NT5E,NT5E
CEMIP2,CEMIP2
ABHD15,ABHD15
CD6,CD6
PLCH2,PLCH2
RGS20,RGS20
PLEKHM2,PLEKHM2
TXNDC16,TXNDC16
ARL4C,ARL4C
S100A12,S100A12
MT1M,MT1M
BEX5,BEX5
CLEC2D,CLEC2D
IRF4,IRF4
ATG2B,ATG2B
TNFSF14,TNFSF14
MCC,MCC
LRRC49,LRRC49
SCGB3A2,SCGB3A2
FMR1,FMR1
FHL1,FHL1
CNTNAP3B,CNTNAP3B
PTGDS,PTGDS
KREMEN2,KREMEN2
ZNF583,ZNF583
PLOD2,PLOD2
GIPR,GIPR
KSR2,KSR2
LINC01588,LINC01588
MAST3,MAST3
SGCE,SGCE
SYNGR1,SYNGR1
MTF1,MTF1
TUBB4B,TUBB4B
FAM222A,FAM222A
OPRM1,OPRM1
PLXNA4,PLXNA4
DUSP2,DUSP2
VEGFA,VEGFA
ELL3,ELL3
SETBP1,SETBP1
PLEKHA1,PLEKHA1
RHBDD2,RHBDD2
HAMP,HAMP
IGKV1-6,IGKV1-6
GMPR,GMPR
MMP9,MMP9
BCAS1,BCAS1
USP9Y,USP9Y
MCL1,MCL1
RNASE3,RNASE3
DBF4,DBF4
PRDM16,PRDM16
CD79B,CD79B
IGHG4,IGHG4
SYVN1,SYVN1
LINC00092,LINC00092
FCRL3,FCRL3
MYO10,MYO10
STXBP1,STXBP1
LINC00987,LINC00987
CACNA2D2,CACNA2D2
CES1,CES1
AQP1,AQP1
ERLIN1,ERLIN1
ZFHX3,ZFHX3
FKBP5,FKBP5
FTL,FTL
RASGEF1A,RASGEF1A
APOBEC3H,APOBEC3H
UACA,UACA
TRBV10-2,TRBV10-2
SNHG9,SNHG9
AICDA,AICDA
SYAP1,SYAP1
PKMYT1,PKMYT1
IRAK3,IRAK3
DAAM2,DAAM2
SPAG1,SPAG1
NSUN2,NSUN2
SLC35A3,SLC35A3
PMCH,PMCH
FRY,FRY
PIAS2,PIAS2
UBN2,UBN2
SERPINB9,SERPINB9
KCNAB3,KCNAB3
DCAF12,DCAF12
TSACC,TSACC
SIGLEC1,SIGLEC1
KL,KL
TUBB,TUBB
AGO4,AGO4
RPS29,RPS29
KYNU,KYNU
STMN3,STMN3
SURF1,SURF1
PLXND1,PLXND1
NOD2,NOD2
ARFGEF1,ARFGEF1
TMEM45B,TMEM45B
CYP27A1,CYP27A1
IGKV4-1,IGKV4-1
FCER2,FCER2
FZD5,FZD5
FGF18,FGF18
STAG3,STAG3
SLC2A1,SLC2A1
NEFM,NEFM
GPR82,GPR82
TLR10,TLR10
DAB2IP,DAB2IP
CFH,CFH
NGRN,NGRN
TMIGD2,TMIGD2
CTDSP1,CTDSP1
DRAXIN,DRAXIN
NDST3,NDST3
CDHR1,CDHR1
GK5,GK5
HAVCR1,HAVCR1
PCNX4,PCNX4
GDI1,GDI1
FBLN1,FBLN1
CRIM1,CRIM1
ZNF80,ZNF80
RESF1,RESF1
NAA15,NAA15
MBOAT7,MBOAT7
BMP6,BMP6
ATP2B4,ATP2B4
UCHL1,UCHL1
CCDC168,CCDC168
PARD6G,PARD6G
KMT2C,KMT2C
KIF2A,KIF2A
MEIOC,MEIOC
CNOT6L,CNOT6L
PLK1,PLK1
MAPK8IP3,MAPK8IP3
NRXN2,NRXN2
SELP,SELP
IGHE,IGHE
PVALB,PVALB
TOGARAM2,TOGARAM2
ABLIM3,ABLIM3
CSGALNACT1,CSGALNACT1
ZMIZ2,ZMIZ2
CP,CP
ATP2C2,ATP2C2
PLEKHA5,PLEKHA5
MYO5A,MYO5A
COMMD5,COMMD5
ARFGAP1,ARFGAP1
TRIM6,TRIM6
LRRC7,LRRC7
ZNF431,ZNF431
CBX4,CBX4
MSLN,MSLN
PLSCR2,PLSCR2
FGD4,FGD4
CD300E,CD300E
SARM1,SARM1
USP43,USP43
MYEOV,MYEOV
EIF4A3,EIF4A3
CELA1,CELA1
L3MBTL4,L3MBTL4
PLAAT2,PLAAT2
CTLA4,CTLA4
SLC16A11,SLC16A11
ESCO2,ESCO2
ARPC1B,ARPC1B
ADAMTS10,ADAMTS10
CYCS,CYCS
PPP2R5C,PPP2R5C
RFX2,RFX2
TNFAIP1,TNFAIP1
JAKMIP3,JAKMIP3
GRB2,GRB2
MIR222HG,MIR222HG
CASP3,CASP3
MT1F,MT1F
TRDV3,TRDV3
RPL41,RPL41
VAMP1,VAMP1
PITPNM2,PITPNM2
TRGC1,TRGC1
TBKBP1,TBKBP1
NRARP,NRARP
ARHGEF25,ARHGEF25
TNRC6C,TNRC6C
ATG16L2,ATG16L2
ACTG1,ACTG1
LAMA2,LAMA2
ALPK1,ALPK1
PTPN22,PTPN22
IGLV1-44,IGLV1-44
HGS,HGS
PLK3,PLK3
LINC00239,LINC00239
CD59,CD59
NETO2,NETO2
ZFAND2A,ZFAND2A
MT-CO2,MT-CO2
TMEM213,TMEM213
THEM5,THEM5
ARAP2,ARAP2
CLU,CLU
ABCA5,ABCA5
CA3,CA3
SYTL4,SYTL4
ADHFE1,ADHFE1
EREG,EREG
DES,DES
GABPB1,GABPB1
ELOVL7,ELOVL7
LIPG,LIPG
PPP2R2D,PPP2R2D
BTG2,BTG2
MAD2L1,MAD2L1
SIPA1L2,SIPA1L2
PAX5,PAX5
CADM1,CADM1
PRF1,PRF1
IGHV3-23,IGHV3-23
SLC5A5,SLC5A5
COLEC12,COLEC12
ARPC4,ARPC4
IDO1,IDO1
SFXN5,SFXN5
TMEM154,TMEM154
CRIP2,CRIP2
CDCA5,CDCA5
CXXC4,CXXC4
SPTBN1,SPTBN1
CDK12,CDK12
ITK,ITK
IRS2,IRS2
IFIT1B,IFIT1B
LINC02762,LINC02762
ID3,ID3
CADPS,CADPS
HIGD1B,HIGD1B
INPP5K,INPP5K
DNAAF1,DNAAF1
CHORDC1,CHORDC1
SLC25A37,SLC25A37
STRADA,STRADA
HKDC1,HKDC1
NUDT4,NUDT4
CLEC2B,CLEC2B
THEM4,THEM4
ZNF844,ZNF844
NUGGC,NUGGC
ENC1,ENC1
KIR3DL1,KIR3DL1
CSRNP1,CSRNP1
TSHZ3,TSHZ3
ALKAL2,ALKAL2
SAV1,SAV1
PLN,PLN
RHOH,RHOH
LEXM,LEXM
AFAP1,AFAP1
ETV1,ETV1
CA2,CA2
PLSCR1,PLSCR1
WFDC1,WFDC1
TIMD4,TIMD4
KCNN4,KCNN4
TMEM107,TMEM107
PICK1,PICK1
GLI1,GLI1
RASAL1,RASAL1
EGLN2,EGLN2
OSR2,OSR2
MIR3681HG,MIR3681HG
GLRX5,GLRX5
MTFP1,MTFP1
GREM2,GREM2
SLC13A5,SLC13A5
SC5D,SC5D
ATAD2,ATAD2
P2RY13,P2RY13
LAT2,LAT2
YPEL3,YPEL3
SUGCT,SUGCT
ATP7A,ATP7A
TRMU,TRMU
SPOCD1,SPOCD1
DCLRE1A,DCLRE1A
TERF2IP,TERF2IP
RCAN1,RCAN1
ITM2A,ITM2A
MSRB1,MSRB1
GPR160,GPR160
ADAP1,ADAP1
GAB1,GAB1
SPEG,SPEG
PPP1R16A,PPP1R16A
VMP1,VMP1
TUBA1B,TUBA1B
DHRS3,DHRS3
TRPM8,TRPM8
IL2RB,IL2RB
PRELID2,PRELID2
KIZ,KIZ
VAPA,VAPA
TGFA,TGFA
ZNF335,ZNF335
UBE2D1,UBE2D1
SGSH,SGSH
SP3,SP3
SRGN,SRGN
CCDC25,CCDC25
FBXO5,FBXO5
CUL5,CUL5
IFIT1,IFIT1
AGAP1,AGAP1
CDKN2C,CDKN2C
PRDM5,PRDM5
IGLV3-10,IGLV3-10
RGS16,RGS16
PTCH1,PTCH1
GALNT7,GALNT7
TMEM44,TMEM44
NINJ1,NINJ1
SAG,SAG
WTAP,WTAP
AARD,AARD
APBA2,APBA2
GAN,GAN
GFPT2,GFPT2
CBLB,CBLB
TIGD4,TIGD4
SH2D1A,SH2D1A
HOMER3,HOMER3
FABP5,FABP5
METTL24,METTL24
IGF1,IGF1
SERPINF1,SERPINF1
FRAT1,FRAT1
IL17RA,IL17RA
RNF13,RNF13
PCP2,PCP2
CENPM,CENPM
BANK1,BANK1
PTPRM,PTPRM
ACLY,ACLY
FXYD1,FXYD1
TUBA1C,TUBA1C
USP21,USP21
PMEL,PMEL
WDR97,WDR97
CGAS,CGAS
WDHD1,WDHD1
SCN2A,SCN2A
SPG11,SPG11
SIRPB2,SIRPB2
CLDND1,CLDND1
TPM2,TPM2
DIPK1C,DIPK1C
INPPL1,INPPL1
PITX1,PITX1
IL13RA1,IL13RA1
ARRDC1,ARRDC1
IGHG3,IGHG3
HBEGF,HBEGF
DENND2C,DENND2C
COL19A1,COL19A1
KDM1B,KDM1B
HSPH1,HSPH1
CHL1,CHL1
R3HDM4,R3HDM4
MECOM,MECOM
STYK1,STYK1
VPS13A,VPS13A
SYTL1,SYTL1
PDK3,PDK3
TLR5,TLR5
MEGF9,MEGF9
ILK,ILK
INAFM1,INAFM1
PALLD,PALLD
MYDGF,MYDGF
DOCK5,DOCK5
RHCE,RHCE
ANKZF1,ANKZF1
HLA-DRB1,HLA-DRB1
FCGR1A,FCGR1A
VIT,VIT
NR2F2,NR2F2
CTNNAL1,CTNNAL1
TRIM9,TRIM9
OPLAH,OPLAH
IGFBP7,IGFBP7
COQ7,COQ7
FOXP3,FOXP3
CD320,CD320
HEG1,HEG1
TOP2A,TOP2A
ICAM1,ICAM1
KIR3DL2,KIR3DL2
