genes	geneShortName	ncbigene	refseq	uniprot	kegg.genes	ecogene	hprd	asap	ccds	ncbiprotein
YPR193C	HPA2	856323	NM_001184290	Q06592	sce:YPR193C					NP_015519
YDR109C		851687	NM_001180417		sce:YDR109C					NP_010394
