Var1,Var2
s_0001,10000000
s_0002,10000000
s_0003,10000000
s_0004,-229.85
s_0006,-343.18
s_0007,-160.48
s_0008,-45.17
s_0009,-103.17
s_0010,-112.16
s_0011,-112.16
s_0012,-209.44
s_0013,247.78
s_0014,247.78
s_0015,-69.25
s_0016,-67.63
s_0017,-256.78
s_0018,-473.82
s_0019,-274.7
s_0020,5.77
s_0021,76.02
s_0022,76.02
s_0023,76.02
s_0024,76.02
s_0025,-74.68
s_0026,-74.68
s_0027,-74.68
s_0028,-50.86
s_0029,-50.86
s_0030,-52.67
s_0031,-32.94
s_0032,-32.94
s_0033,-102.35
s_0034,-102.35
s_0035,17.23
s_0036,17.23
s_0037,606.15
s_0038,606.15
s_0039,-57.99
s_0042,-262.65
s_0045,121.01
s_0048,-214.69
s_0051,-118.77
s_0054,-166.73
s_0056,-22.2
s_0058,-22.2
s_0060,-22.2
s_0061,-103.03
s_0062,-12.05
s_0063,-74.68
s_0064,-74.68
s_0065,-74.68
s_0066,-162.83
s_0067,-162.83
s_0068,-162.83
s_0069,-162.83
s_0075,-550.97
s_0076,-267.72
s_0077,-456.95
s_0078,-421.02
s_0079,-312.07
s_0080,-312.07
s_0084,10000000
s_0086,-141.84
s_0087,98.67
s_0089,10000000
s_0116,-40.88
s_0117,-40.88
s_0118,-1.04
s_0119,-1.04
s_0120,73.23
s_0121,73.23
s_0122,510.25
s_0123,-965
s_0124,-965
s_0125,-762.1
s_0126,-326.15
s_0127,-326.15
s_0129,-318.64
s_0131,-95.39
s_0132,111.81
s_0133,111.81
s_0134,70.62
s_0135,70.62
s_0136,33.37
s_0137,33.37
s_0138,-28.59
s_0139,-28.59
s_0140,-560.03
s_0141,-190.84
s_0142,-191.36
s_0143,10000000
s_0144,10000000
s_0145,-37.04
s_0146,-80.44
s_0147,-100.45
s_0148,102.85
s_0149,-61.66
s_0150,-61.66
s_0152,-44.41
s_0153,-267.45
s_0154,653.19
s_0155,672.94
s_0156,693.37
s_0157,714
s_0158,-253.51
s_0161,264.7
s_0162,-104.59
s_0163,-104.59
s_0164,-104.59
s_0165,-65.9
s_0166,66.37
s_0167,66.37
s_0168,66.37
s_0169,76.36
s_0170,76.36
s_0171,76.36
s_0172,58.39
s_0173,58.39
s_0174,-209.44
s_0176,-129.63
s_0177,-129.63
s_0178,-62.58
s_0179,-62.58
s_0180,-150.73
s_0181,-150.73
s_0182,-150.73
s_0183,-150.73
s_0184,-150.73
s_0185,90.71
s_0186,90.71
s_0187,90.71
s_0188,-334.7
s_0189,-25.41
s_0190,-131.39
s_0191,-131.39
s_0192,-93.83
s_0193,-172.49
s_0194,-53.99
s_0195,-135.41
s_0196,-170.13
s_0197,-227.43
s_0200,-227.43
s_0201,-487.05
s_0204,-47.34
s_0206,-47.34
s_0207,-174.77
s_0208,44.29
s_0209,479.18
s_0210,-127.05
s_0211,-98.32
s_0212,549.14
s_0213,549.14
s_0214,620.76
s_0215,588.62
s_0216,588.62
s_0217,-69.22
s_0218,-535.86
s_0221,-535.86
s_0222,0.42
s_0224,-30.24
s_0229,-70.82
s_0231,322.59
s_0232,-43.3
s_0233,-43.3
s_0234,66.37
s_0235,66.37
s_0236,66.37
s_0239,-276.99
s_0243,106.67
s_0247,-229.03
s_0250,-85.16
s_0253,-133.11
s_0257,-181.07
s_0258,-343.7
s_0259,-281.93
s_0260,-334.72
s_0261,-307.66
s_0262,505.34
s_0263,-1769.75
s_0264,-297.62
s_0267,-325.57
s_0268,-119.06
s_0269,-42.22
s_0270,105.84
