index	rxnNames	metNames	comps	coefficient
160	guanylate cyclase	diphosphate	c	1
160	guanylate cyclase	3',5'-cyclic GMP	c	1
168	kynurenine aminotransferase (2-oxoglutarate)	2-oxoglutarate	c	-1
168	kynurenine aminotransferase (2-oxoglutarate)	L-kynurenine	c	-1
168	kynurenine aminotransferase (2-oxoglutarate)	L-glutamate	c	1
168	kynurenine aminotransferase (2-oxoglutarate)	4-(2-aminophenyl)-2,4-dioxobutanoate	c	1
184	farnesyl diphosphatase	farnesyl diphosphate	c	-1
184	farnesyl diphosphatase	H2O	c	-1
184	farnesyl diphosphatase	farnesol	c	1
184	farnesyl diphosphatase	diphosphate	c	1
205	bis(5'-adenosyl)-triphosphatase	H2O	c	-1
205	bis(5'-adenosyl)-triphosphatase	P(1),P(3)-bis(5'-adenosyl) triphosphate	c	-1
205	bis(5'-adenosyl)-triphosphatase	ADP	c	1
205	bis(5'-adenosyl)-triphosphatase	AMP	c	1
205	bis(5'-adenosyl)-triphosphatase	H+	c	2
220	nucleoside diphosphate kinase	ATP	m	-1
220	nucleoside diphosphate kinase	CDP	m	-1
220	nucleoside diphosphate kinase	ADP	m	1
220	nucleoside diphosphate kinase	CTP	m	1
221	nucleoside diphosphate kinase	ATP	m	-1
221	nucleoside diphosphate kinase	dADP	m	-1
221	nucleoside diphosphate kinase	ADP	m	1
221	nucleoside diphosphate kinase	dATP	m	1
222	nucleoside diphosphate kinase	ATP	m	-1
222	nucleoside diphosphate kinase	dCDP	m	-1
222	nucleoside diphosphate kinase	ADP	m	1
222	nucleoside diphosphate kinase	dCTP	m	1
223	nucleoside diphosphate kinase	ATP	m	-1
223	nucleoside diphosphate kinase	dGDP	m	-1
223	nucleoside diphosphate kinase	ADP	m	1
223	nucleoside diphosphate kinase	dGTP	m	1
224	nucleoside diphosphate kinase	ATP	m	-1
224	nucleoside diphosphate kinase	dTDP	m	-1
224	nucleoside diphosphate kinase	ADP	m	1
224	nucleoside diphosphate kinase	dTTP	m	1
225	nucleoside diphosphate kinase	ATP	m	-1
225	nucleoside diphosphate kinase	GDP	m	-1
225	nucleoside diphosphate kinase	ADP	m	1
225	nucleoside diphosphate kinase	GTP	m	1
226	nucleoside diphosphate kinase	ATP	m	-1
226	nucleoside diphosphate kinase	IDP	m	-1
226	nucleoside diphosphate kinase	ADP	m	1
226	nucleoside diphosphate kinase	ITP	m	1
227	nucleoside diphosphate kinase	ATP	m	-1
227	nucleoside diphosphate kinase	dIDP	m	-1
227	nucleoside diphosphate kinase	ADP	m	1
227	nucleoside diphosphate kinase	dITP	m	1
228	nucleoside diphosphate kinase	ATP	m	-1
228	nucleoside diphosphate kinase	dUDP	m	-1
228	nucleoside diphosphate kinase	ADP	m	1
228	nucleoside diphosphate kinase	dUTP	m	1
