"#","timestamp","dataset","subset","subsubset","run","random","method","model","metric:accuracy","metric:f1_score","metric:runtime","metric:clstime","metric:totaltime","metric:candidates","metric:movelets","error","metric:accuracyTop5","name","key"
0,1643054345,"ACSF1","specific","specific",0,1,"HL","NN",73.0000019073,0.7373736501,3622657,28562.227,3651219.227,1310400,31350,"False",97.000002861,"HL-specific-NN","ACSF1-specific-0"
1,1643054345,"ACSF1","specific","specific",0,1,"HL","RF",76,0,3622657,954.394,3623611.394,1310400,31350,"False",97,"HL-specific-RF","ACSF1-specific-0"
6,1643057854,"ACSF1","specific","specific",0,1,"HpL","NN",86.0000014305,0.8599999547,3454033,22732.314,3476765.314,316728,23226,"False",100,"HpL-specific-NN","ACSF1-specific-0"
7,1643057854,"ACSF1","specific","specific",0,1,"HpL","RF",87,0,3454033,925.059,3454958.059,316728,23226,"False",100,"HpL-specific-RF","ACSF1-specific-0"
8,1643070222,"ACSF1","specific","specific",0,1,"HpTR50L","NN",87.9999995232,0.8799999356,4079793,25033.858,4104826.858,413926,26833,"False",99.0000009537,"HpTR50L-specific-NN","ACSF1-specific-0"
9,1643070222,"ACSF1","specific","specific",0,1,"HpTR50L","RF",88,0,4079793,937.605,4080730.605,413926,26833,"False",99,"HpTR50L-specific-RF","ACSF1-specific-0"
10,1643080398,"ACSF1","specific","specific",0,1,"HpTR75L","NN",87.0000004768,0.8699999452,3993229,24935.898,4018164.898,392041,26511,"False",98.0000019073,"HpTR75L-specific-NN","ACSF1-specific-0"
11,1643080398,"ACSF1","specific","specific",0,1,"HpTR75L","RF",85,0,3993229,932.575,3994161.575,392041,26511,"False",99,"HpTR75L-specific-RF","ACSF1-specific-0"
2,1643066069,"ACSF1","specific","specific",0,1,"HTR50L","NN",86.0000014305,0.8643215299,6960127,33162.122,6993289.122,1310400,37981,"False",98.0000019073,"HTR50L-specific-NN","ACSF1-specific-0"
3,1643066069,"ACSF1","specific","specific",0,1,"HTR50L","RF",88,0,6960127,1129.819,6961256.819,1310400,37981,"False",98,"HTR50L-specific-RF","ACSF1-specific-0"
4,1643076336,"ACSF1","specific","specific",0,1,"HTR75L","NN",85.0000023842,0.8542712927,6065631,31265.458,6096896.458,1310400,36931,"False",98.0000019073,"HTR75L-specific-NN","ACSF1-specific-0"
5,1643076336,"ACSF1","specific","specific",0,1,"HTR75L","RF",86,0,6065631,1049.585,6066680.585,1310400,36931,"False",99,"HTR75L-specific-RF","ACSF1-specific-0"
16,-1,"ACSF1","specific","dim0_1",0,1,"NPOI_1","-",27,0.2116181338,1968637.56,52811.419,2021448.979,0,0,"False",72,"NPOI_1-dim0_1--","ACSF1-specific-0"
17,-1,"ACSF1","specific","dim0_1_2_3",0,1,"NPOI_1_2_3","-",23,0.2118830521,1968637.56,532013.074,2500650.634,0,0,"False",60,"NPOI_1_2_3-dim0_1_2_3--","ACSF1-specific-0"
18,-1,"ACSF1","specific","dim0_2",0,1,"NPOI_2","-",10,0.0181818182,1968637.56,70720.18,2039357.74,0,0,"False",50,"NPOI_2-dim0_2--","ACSF1-specific-0"
19,-1,"ACSF1","specific","dim0_3",0,1,"NPOI_3","-",10,0.0181818182,1968637.56,133704.239,2102341.799,0,0,"False",50,"NPOI_3-dim0_3--","ACSF1-specific-0"
20,1643050685,"ACSF1","specific","specific",0,1,"RL","NN",87.9999995232,0.8799999356,2380778,20546.628,2401324.628,135033,19122,"False",99.0000009537,"RL-specific-NN","ACSF1-specific-0"
21,1643050685,"ACSF1","specific","specific",0,1,"RL","RF",86,0,2380778,917.013,2381695.013,135033,19122,"False",99,"RL-specific-RF","ACSF1-specific-0"
22,1658582818,"ACSF1","specific","specific",0,1,"U","NN",81.0000002384,0.8080807924,1728582,34890.426,1763472.426,200169,34583,"False",97.000002861,"U-specific-NN","ACSF1-specific-0"
23,1658582818,"ACSF1","specific","specific",0,1,"U","RF",83,0,1728582,1419.507,1730001.507,200169,34583,"False",98,"U-specific-RF","ACSF1-specific-0"
24,1643083365,"Adiac","specific","specific",0,1,"HL","NN",34.2711001635,0.3047096133,333373,16949.72,350322.72,472290,4976,"False",63.4271085262,"HL-specific-NN","Adiac-specific-0"
25,1643083365,"Adiac","specific","specific",0,1,"HL","RF",29.6675191816,0,333373,1237.501,334610.501,472290,4976,"False",62.915601023,"HL-specific-RF","Adiac-specific-0"
30,1643083691,"Adiac","specific","specific",0,1,"HpL","NN",43.2225078344,0.4180472195,298190,16651.969,314841.969,89589,5067,"False",72.1227645874,"HpL-specific-NN","Adiac-specific-0"
31,1643083691,"Adiac","specific","specific",0,1,"HpL","RF",35.0383631714,0,298190,1130.236,299320.236,89589,5067,"False",68.5421994885,"HpL-specific-RF","Adiac-specific-0"
32,1643085282,"Adiac","specific","specific",0,1,"HpTR50L","NN",48.849105835,0.4584518075,573321,23636.239,596957.239,172414,7978,"False",81.585675478,"HpTR50L-specific-NN","Adiac-specific-0"
33,1643085282,"Adiac","specific","specific",0,1,"HpTR50L","RF",40.1534526854,0,573321,1251.844,574572.844,172414,7978,"False",76.4705882353,"HpTR50L-specific-RF","Adiac-specific-0"
34,1643086562,"Adiac","specific","specific",0,1,"HpTR75L","NN",47.5703328848,0.4796545208,515632,22743.964,538375.964,157833,7552,"False",79.2838871479,"HpTR75L-specific-NN","Adiac-specific-0"
35,1643086562,"Adiac","specific","specific",0,1,"HpTR75L","RF",40.9207161125,0,515632,1248.209,516880.209,157833,7552,"False",75.1918158568,"HpTR75L-specific-RF","Adiac-specific-0"
26,1643084669,"Adiac","specific","specific",0,1,"HTR50L","NN",45.0127869844,0.4230749011,716244,24140.705,740384.705,472290,7321,"False",76.7263412476,"HTR50L-specific-NN","Adiac-specific-0"
27,1643084669,"Adiac","specific","specific",0,1,"HTR50L","RF",36.0613810742,0,716244,1256.723,717500.723,472290,7321,"False",70.8439897698,"HTR50L-specific-RF","Adiac-specific-0"
28,1643086008,"Adiac","specific","specific",0,1,"HTR75L","NN",43.2225078344,0.3987901211,686302,24100.157,710402.157,472290,7197,"False",77.4936079979,"HTR75L-specific-NN","Adiac-specific-0"
29,1643086008,"Adiac","specific","specific",0,1,"HTR75L","RF",37.3401534527,0,686302,1253.305,687555.305,472290,7197,"False",70.3324808184,"HTR75L-specific-RF","Adiac-specific-0"
40,-1,"Adiac","specific","dim0_1",0,1,"NPOI_1","-",3.3248081841,0.0252694917,1363323.343,222798.001,1586121.344,0,0,"False",10.9974424552,"NPOI_1-dim0_1--","Adiac-specific-0"
