"#","timestamp","dataset","subset","subsubset","run","random","method","model","metric:accuracy","metric:f1_score","metric:runtime","metric:clstime","metric:totaltime","metric:candidates","metric:movelets","error","metric:accuracyTop5","name","key"
41,-1,"Adiac","specific","dim0_1_2_3",0,1,"NPOI_1_2_3","-",2.8132992327,0.0202751446,1363323.343,1035408.34,2398731.683,0,0,"False",15.0895140665,"NPOI_1_2_3-dim0_1_2_3--","Adiac-specific-0"
42,-1,"Adiac","specific","dim0_2",0,1,"NPOI_2","-",1.7902813299,0.0009506994,1363323.343,165905.645,1529228.988,0,0,"False",8.9514066496,"NPOI_2-dim0_2--","Adiac-specific-0"
43,-1,"Adiac","specific","dim0_3",0,1,"NPOI_3","-",2.3017902813,0.0012162162,1363323.343,165310.425,1528633.768,0,0,"False",13.5549872123,"NPOI_3-dim0_3--","Adiac-specific-0"
44,1643083007,"Adiac","specific","specific",0,1,"RL","NN",50.3836333752,0.5016740561,227622,15028.808,242650.808,47702,3807,"False",82.0971846581,"RL-specific-NN","Adiac-specific-0"
45,1643083007,"Adiac","specific","specific",0,1,"RL","RF",45.0127877238,0,227622,1228.947,228850.947,47702,3807,"False",76.4705882353,"RL-specific-RF","Adiac-specific-0"
46,1658583082,"Adiac","specific","specific",0,1,"U","NN",19.1815853119,0.1587168574,190285,14756.63,205041.63,72437,3316,"False",41.9437348843,"U-specific-NN","Adiac-specific-0"
47,1658583082,"Adiac","specific","specific",0,1,"U","RF",18.6700767263,0,190285,1143.905,191428.905,72437,3316,"False",45.7800511509,"U-specific-RF","Adiac-specific-0"
48,1643088035,"AllGestureWiimoteX","specific","specific",0,1,"HL","NN",28.8571417332,0.2571005225,14414,12788.255,27202.255,19232,1731,"False",84.5714271069,"HL-specific-NN","AllGestureWiimoteX-specific-0"
49,1643088035,"AllGestureWiimoteX","specific","specific",0,1,"HL","RF",32.5714285714,0,14414,1008.307,15422.307,19232,1731,"False",89.2857142857,"HL-specific-RF","AllGestureWiimoteX-specific-0"
54,1643088098,"AllGestureWiimoteX","specific","specific",0,1,"HpL","NN",35.5714291334,0.3442574441,43249,13473.598,56722.598,20865,2566,"False",86.2857162952,"HpL-specific-NN","AllGestureWiimoteX-specific-0"
55,1643088098,"AllGestureWiimoteX","specific","specific",0,1,"HpL","RF",44.2857142857,0,43249,1020.576,44269.576,20865,2566,"False",92.7142857143,"HpL-specific-RF","AllGestureWiimoteX-specific-0"
56,1643088328,"AllGestureWiimoteX","specific","specific",0,1,"HpTR50L","NN",39.2857134342,0.3828803003,48462,14241.024,62703.024,23008,2788,"False",86.2857162952,"HpTR50L-specific-NN","AllGestureWiimoteX-specific-0"
57,1643088328,"AllGestureWiimoteX","specific","specific",0,1,"HpTR50L","RF",43.7142857143,0,48462,1035.206,49497.206,23008,2788,"False",93.5714285714,"HpTR50L-specific-RF","AllGestureWiimoteX-specific-0"
58,1643088432,"AllGestureWiimoteX","specific","specific",0,1,"HpTR75L","NN",38.4285718203,0.3679335415,45418,13751.063,59169.063,21363,2632,"False",84.5714271069,"HpTR75L-specific-NN","AllGestureWiimoteX-specific-0"
59,1643088432,"AllGestureWiimoteX","specific","specific",0,1,"HpTR75L","RF",42,0,45418,1022.914,46440.914,21363,2632,"False",93.5714285714,"HpTR75L-specific-RF","AllGestureWiimoteX-specific-0"
50,1643088260,"AllGestureWiimoteX","specific","specific",0,1,"HTR50L","NN",29.8571437597,0.2763035297,16306,12818.778,29124.778,18533,1774,"False",86.0000014305,"HTR50L-specific-NN","AllGestureWiimoteX-specific-0"
51,1643088260,"AllGestureWiimoteX","specific","specific",0,1,"HTR50L","RF",33.5714285714,0,16306,1005.038,17311.038,18533,1774,"False",90.7142857143,"HTR50L-specific-RF","AllGestureWiimoteX-specific-0"
52,1643088366,"AllGestureWiimoteX","specific","specific",0,1,"HTR75L","NN",28.5714298487,0.2482023239,15510,13131.562,28641.562,18533,1767,"False",86.1428558826,"HTR75L-specific-NN","AllGestureWiimoteX-specific-0"
53,1643088366,"AllGestureWiimoteX","specific","specific",0,1,"HTR75L","RF",32.2857142857,0,15510,1011.213,16521.213,18533,1767,"False",87.4285714286,"HTR75L-specific-RF","AllGestureWiimoteX-specific-0"
64,-1,"AllGestureWiimoteX","specific","dim0_1",0,1,"NPOI_1","-",32.5714285714,0.3146234879,49566.638,6551.942,56118.58,0,0,"False",90.4285714286,"NPOI_1-dim0_1--","AllGestureWiimoteX-specific-0"
65,-1,"AllGestureWiimoteX","specific","dim0_1_2_3",0,1,"NPOI_1_2_3","-",37.8571428571,0.3637819408,49566.638,24823.33,74389.968,0,0,"False",86.8571428571,"NPOI_1_2_3-dim0_1_2_3--","AllGestureWiimoteX-specific-0"
66,-1,"AllGestureWiimoteX","specific","dim0_2",0,1,"NPOI_2","-",35.2857142857,0.3372431743,49566.638,9802.239,59368.877,0,0,"False",88,"NPOI_2-dim0_2--","AllGestureWiimoteX-specific-0"
67,-1,"AllGestureWiimoteX","specific","dim0_3",0,1,"NPOI_3","-",33.7142857143,0.3161517877,49566.638,38167.969,87734.607,0,0,"False",84.7142857143,"NPOI_3-dim0_3--","AllGestureWiimoteX-specific-0"
68,1643087977,"AllGestureWiimoteX","specific","specific",0,1,"RL","NN",40.2857154608,0.3865998387,162134,27424.169,189558.169,23797,7846,"False",86.7142856121,"RL-specific-NN","AllGestureWiimoteX-specific-0"
69,1643087977,"AllGestureWiimoteX","specific","specific",0,1,"RL","RF",42.8571428571,0,162134,1227.445,163361.445,23797,7846,"False",91.2857142857,"RL-specific-RF","AllGestureWiimoteX-specific-0"
70,1658583734,"AllGestureWiimoteX","specific","specific",0,1,"U","NN",37.5714272261,0.3608683348,628342,85504.818,713846.818,90548,37133,"False",87.4285697937,"U-specific-NN","AllGestureWiimoteX-specific-0"
71,1658583734,"AllGestureWiimoteX","specific","specific",0,1,"U","RF",40.8571428571,0,628342,1698.984,630040.984,90548,37133,"False",92.4285714286,"U-specific-RF","AllGestureWiimoteX-specific-0"
72,1643089803,"AllGestureWiimoteY","specific","specific",0,1,"HL","NN",34.8571419716,0.3501774073,11931,11565.085,23496.085,14443,1298,"False",81.71428442,"HL-specific-NN","AllGestureWiimoteY-specific-0"
73,1643089803,"AllGestureWiimoteY","specific","specific",0,1,"HL","RF",41.1428571429,0,11931,901.577,12832.577,14443,1298,"False",85.5714285714,"HL-specific-RF","AllGestureWiimoteY-specific-0"
78,1643089866,"AllGestureWiimoteY","specific","specific",0,1,"HpL","NN",40.000000596,0.4084550738,45969,14097.612,60066.612,22739,2775,"False",84.4285726547,"HpL-specific-NN","AllGestureWiimoteY-specific-0"
79,1643089866,"AllGestureWiimoteY","specific","specific",0,1,"HpL","RF",44.1428571429,0,45969,1035.335,47004.335,22739,2775,"False",88.8571428571,"HpL-specific-RF","AllGestureWiimoteY-specific-0"
80,1643090093,"AllGestureWiimoteY","specific","specific",0,1,"HpTR50L","NN",40.1428580284,0.4169993103,52956,14808.322,67764.322,25058,3099,"False",84.7142875195,"HpTR50L-specific-NN","AllGestureWiimoteY-specific-0"
81,1643090093,"AllGestureWiimoteY","specific","specific",0,1,"HpTR50L","RF",45.2857142857,0,52956,1041.781,53997.781,25058,3099,"False",88.8571428571,"HpTR50L-specific-RF","AllGestureWiimoteY-specific-0"
82,1643090198,"AllGestureWiimoteY","specific","specific",0,1,"HpTR75L","NN",40.7142847776,0.4152060747,52431,14478.472,66909.472,24308,2931,"False",84.4285726547,"HpTR75L-specific-NN","AllGestureWiimoteY-specific-0"
83,1643090198,"AllGestureWiimoteY","specific","specific",0,1,"HpTR75L","RF",47.5714285714,0,52431,1035.047,53466.047,24308,2931,"False",89,"HpTR75L-specific-RF","AllGestureWiimoteY-specific-0"
74,1643090022,"AllGestureWiimoteY","specific","specific",0,1,"HTR50L","NN",34.5714271069,0.3430325389,12444,11526.617,23970.617,14443,1299,"False",81.71428442,"HTR50L-specific-NN","AllGestureWiimoteY-specific-0"
75,1643090022,"AllGestureWiimoteY","specific","specific",0,1,"HTR50L","RF",42.1428571429,0,12444,899.961,13343.961,14443,1299,"False",83.1428571429,"HTR50L-specific-RF","AllGestureWiimoteY-specific-0"
76,1643090129,"AllGestureWiimoteY","specific","specific",0,1,"HTR75L","NN",35.2857142687,0.3503965139,12442,11538.614,23980.614,14443,1297,"False",81.2857151031,"HTR75L-specific-NN","AllGestureWiimoteY-specific-0"
77,1643090129,"AllGestureWiimoteY","specific","specific",0,1,"HTR75L","RF",41.8571428571,0,12442,897.772,13339.772,14443,1297,"False",85.1428571429,"HTR75L-specific-RF","AllGestureWiimoteY-specific-0"
88,-1,"AllGestureWiimoteY","specific","dim0_1",0,1,"NPOI_1","-",38.7142857143,0.3720390544,37421.227,7195.327,44616.554,0,0,"False",89.8571428571,"NPOI_1-dim0_1--","AllGestureWiimoteY-specific-0"
89,-1,"AllGestureWiimoteY","specific","dim0_1_2_3",0,1,"NPOI_1_2_3","-",37.8571428571,0.3617190232,37421.227,20274.162,57695.389,0,0,"False",83.2857142857,"NPOI_1_2_3-dim0_1_2_3--","AllGestureWiimoteY-specific-0"
90,-1,"AllGestureWiimoteY","specific","dim0_2",0,1,"NPOI_2","-",39.1428571429,0.3749508341,37421.227,9336.002,46757.229,0,0,"False",87.1428571429,"NPOI_2-dim0_2--","AllGestureWiimoteY-specific-0"
91,-1,"AllGestureWiimoteY","specific","dim0_3",0,1,"NPOI_3","-",34.1428571429,0.327511985,37421.227,14792.535,52213.762,0,0,"False",81.4285714286,"NPOI_3-dim0_3--","AllGestureWiimoteY-specific-0"
92,1643089747,"AllGestureWiimoteY","specific","specific",0,1,"RL","NN",41.4285719395,0.4337198734,161063,27942.591,189005.591,24652,8093,"False",84.7142875195,"RL-specific-NN","AllGestureWiimoteY-specific-0"
93,1643089747,"AllGestureWiimoteY","specific","specific",0,1,"RL","RF",45.1428571429,0,161063,1197.966,162260.966,24652,8093,"False",88,"RL-specific-RF","AllGestureWiimoteY-specific-0"
94,1658584603,"AllGestureWiimoteY","specific","specific",0,1,"U","NN",39.571428299,0.3989800811,647453,86515.983,733968.983,105648,38304,"False",83.5714280605,"U-specific-NN","AllGestureWiimoteY-specific-0"
95,1658584603,"AllGestureWiimoteY","specific","specific",0,1,"U","RF",44.2857142857,0,647453,1613.102,649066.102,105648,38304,"False",88.5714285714,"U-specific-RF","AllGestureWiimoteY-specific-0"
96,1643091610,"AllGestureWiimoteZ","specific","specific",0,1,"HL","NN",25.857141614,0.2386446893,11080,11537.15,22617.15,13220,1164,"False",83.2857131958,"HL-specific-NN","AllGestureWiimoteZ-specific-0"
97,1643091610,"AllGestureWiimoteZ","specific","specific",0,1,"HL","RF",33.2857142857,0,11080,898.331,11978.331,13220,1164,"False",90.2857142857,"HL-specific-RF","AllGestureWiimoteZ-specific-0"
102,1643091664,"AllGestureWiimoteZ","specific","specific",0,1,"HpL","NN",31.2857151031,0.3182712197,37105,13237.605,50342.605,17312,2516,"False",83.1428587437,"HpL-specific-NN","AllGestureWiimoteZ-specific-0"
103,1643091664,"AllGestureWiimoteZ","specific","specific",0,1,"HpL","RF",36.4285714286,0,37105,1013.283,38118.283,17312,2516,"False",92.2857142857,"HpL-specific-RF","AllGestureWiimoteZ-specific-0"
104,1643091881,"AllGestureWiimoteZ","specific","specific",0,1,"HpTR50L","NN",35.1428568363,0.3503638208,44998,14790.728,59788.728,21286,2955,"False",84.14285779,"HpTR50L-specific-NN","AllGestureWiimoteZ-specific-0"
105,1643091881,"AllGestureWiimoteZ","specific","specific",0,1,"HpTR50L","RF",36.8571428571,0,44998,1069.01,46067.01,21286,2955,"False",92.4285714286,"HpTR50L-specific-RF","AllGestureWiimoteZ-specific-0"
106,1643091976,"AllGestureWiimoteZ","specific","specific",0,1,"HpTR75L","NN",33.7142854929,0.3371041119,43792,14302.489,58094.489,20149,2814,"False",85.5714261532,"HpTR75L-specific-NN","AllGestureWiimoteZ-specific-0"
107,1643091976,"AllGestureWiimoteZ","specific","specific",0,1,"HpTR75L","RF",37.4285714286,0,43792,1036.332,44828.332,20149,2814,"False",93.2857142857,"HpTR75L-specific-RF","AllGestureWiimoteZ-specific-0"
98,1643091819,"AllGestureWiimoteZ","specific","specific",0,1,"HTR50L","NN",27.8571426868,0.2614843249,11757,11552.116,23309.116,12617,1199,"False",85.0000023842,"HTR50L-specific-NN","AllGestureWiimoteZ-specific-0"
99,1643091819,"AllGestureWiimoteZ","specific","specific",0,1,"HTR50L","RF",34.5714285714,0,11757,900.745,12657.745,12617,1199,"False",91.7142857143,"HTR50L-specific-RF","AllGestureWiimoteZ-specific-0"
100,1643091916,"AllGestureWiimoteZ","specific","specific",0,1,"HTR75L","NN",28.4285724163,0.2627033889,11480,11512.357,22992.357,12617,1175,"False",85.428571701,"HTR75L-specific-NN","AllGestureWiimoteZ-specific-0"
101,1643091916,"AllGestureWiimoteZ","specific","specific",0,1,"HTR75L","RF",35.2857142857,0,11480,900.264,12380.264,12617,1175,"False",90.8571428571,"HTR75L-specific-RF","AllGestureWiimoteZ-specific-0"
112,-1,"AllGestureWiimoteZ","specific","dim0_1",0,1,"NPOI_1","-",35.1428571429,0.3376390084,40683.787,6872.391,47556.178,0,0,"False",90.2857142857,"NPOI_1-dim0_1--","AllGestureWiimoteZ-specific-0"
113,-1,"AllGestureWiimoteZ","specific","dim0_1_2_3",0,1,"NPOI_1_2_3","-",32.2857142857,0.3173491474,40683.787,20519.172,61202.959,0,0,"False",87.8571428571,"NPOI_1_2_3-dim0_1_2_3--","AllGestureWiimoteZ-specific-0"
114,-1,"AllGestureWiimoteZ","specific","dim0_2",0,1,"NPOI_2","-",31.7142857143,0.3073535945,40683.787,9067.719,49751.506,0,0,"False",87,"NPOI_2-dim0_2--","AllGestureWiimoteZ-specific-0"
115,-1,"AllGestureWiimoteZ","specific","dim0_3",0,1,"NPOI_3","-",27.5714285714,0.2649425568,40683.787,16872.619,57556.406,0,0,"False",81.2857142857,"NPOI_3-dim0_3--","AllGestureWiimoteZ-specific-0"
116,1643091558,"AllGestureWiimoteZ","specific","specific",0,1,"RL","NN",35.8571439981,0.3364140391,155470,24659.036,180129.036,23986,7792,"False",86.7142856121,"RL-specific-NN","AllGestureWiimoteZ-specific-0"
117,1643091558,"AllGestureWiimoteZ","specific","specific",0,1,"RL","RF",39.5714285714,0,155470,1222.096,156692.096,23986,7792,"False",93.4285714286,"RL-specific-RF","AllGestureWiimoteZ-specific-0"
118,1658585446,"AllGestureWiimoteZ","specific","specific",0,1,"U","NN",32.8571438789,0.3189067543,616911,85991.02,702902.02,92652,37352,"False",86.57143116,"U-specific-NN","AllGestureWiimoteZ-specific-0"
119,1658585446,"AllGestureWiimoteZ","specific","specific",0,1,"U","RF",37.2857142857,0,616911,1702.654,618613.654,92652,37352,"False",92,"U-specific-RF","AllGestureWiimoteZ-specific-0"
397,1643092202,"ArrowHead","specific","specific",0,1,"HL","NN",57.7142834663,0.5655975938,27864,10421.052,38285.052,62496,3563,"False",100,"HL-specific-NN","ArrowHead-specific-0"
398,1643092202,"ArrowHead","specific","specific",0,1,"HL","RF",62.8571428571,0,27864,903.225,28767.225,62496,3563,"False",100,"HL-specific-RF","ArrowHead-specific-0"
403,1643092241,"ArrowHead","specific","specific",0,1,"HpL","NN",66.2857115269,0.6588920951,23692,10325.489,34017.489,20028,2798,"False",100,"HpL-specific-NN","ArrowHead-specific-0"
404,1643092241,"ArrowHead","specific","specific",0,1,"HpL","RF",62.2857142857,0,23692,934.906,24626.906,20028,2798,"False",100,"HpL-specific-RF","ArrowHead-specific-0"
405,1643092361,"ArrowHead","specific","specific",0,1,"HpTR50L","NN",67.4285709858,0.6704870462,27514,10333.283,37847.283,23450,3055,"False",100,"HpTR50L-specific-NN","ArrowHead-specific-0"
406,1643092361,"ArrowHead","specific","specific",0,1,"HpTR50L","RF",65.1428571429,0,27514,905.654,28419.654,23450,3055,"False",100,"HpTR50L-specific-RF","ArrowHead-specific-0"
407,1643092451,"ArrowHead","specific","specific",0,1,"HpTR75L","NN",65.7142877579,0.6589594483,26777,10335.873,37112.873,22893,2997,"False",100,"HpTR75L-specific-NN","ArrowHead-specific-0"
408,1643092451,"ArrowHead","specific","specific",0,1,"HpTR75L","RF",65.7142857143,0,26777,903.823,27680.823,22893,2997,"False",100,"HpTR75L-specific-RF","ArrowHead-specific-0"
399,1643092317,"ArrowHead","specific","specific",0,1,"HTR50L","NN",57.7142834663,0.5648413897,30386,10962.825,41348.825,62496,3471,"False",100,"HTR50L-specific-NN","ArrowHead-specific-0"
400,1643092317,"ArrowHead","specific","specific",0,1,"HTR50L","RF",60.5714285714,0,30386,909.132,31295.132,62496,3471,"False",100,"HTR50L-specific-RF","ArrowHead-specific-0"
401,1643092407,"ArrowHead","specific","specific",0,1,"HTR75L","NN",57.1428596973,0.5714285374,30251,10910.123,41161.123,62496,3471,"False",100,"HTR75L-specific-NN","ArrowHead-specific-0"
402,1643092407,"ArrowHead","specific","specific",0,1,"HTR75L","RF",60.5714285714,0,30251,900.449,31151.449,62496,3471,"False",100,"HTR75L-specific-RF","ArrowHead-specific-0"
413,-1,"ArrowHead","specific","dim0_1",0,1,"NPOI_1","-",29.7142857143,0.1632323232,50804.192,8159.65,58963.842,0,0,"False",100,"NPOI_1-dim0_1--","ArrowHead-specific-0"
414,-1,"ArrowHead","specific","dim0_1_2_3",0,1,"NPOI_1_2_3","-",30.2857142857,0.1657380094,50804.192,14337.679,65141.871,0,0,"False",100,"NPOI_1_2_3-dim0_1_2_3--","ArrowHead-specific-0"
415,-1,"ArrowHead","specific","dim0_2",0,1,"NPOI_2","-",39.4285714286,0.1885245902,50804.192,6933.459,57737.651,0,0,"False",100,"NPOI_2-dim0_2--","ArrowHead-specific-0"
416,-1,"ArrowHead","specific","dim0_3",0,1,"NPOI_3","-",30.2857142857,0.1549707602,50804.192,6651.05,57455.242,0,0,"False",100,"NPOI_3-dim0_3--","ArrowHead-specific-0"
417,1643092161,"ArrowHead","specific","specific",0,1,"RL","NN",65.1428580284,0.6570604444,15079,8954.318,24033.318,6264,1332,"False",100,"RL-specific-NN","ArrowHead-specific-0"
418,1643092161,"ArrowHead","specific","specific",0,1,"RL","RF",64,0,15079,884.272,15963.272,6264,1332,"False",100,"RL-specific-RF","ArrowHead-specific-0"
419,1658585689,"ArrowHead","specific","specific",0,1,"U","NN",57.1428596973,0.568965435,23359,11024.951,34383.951,13883,3821,"False",100,"U-specific-NN","ArrowHead-specific-0"
420,1658585689,"ArrowHead","specific","specific",0,1,"U","RF",56.5714285714,0,23359,1036.691,24395.691,13883,3821,"False",100,"U-specific-RF","ArrowHead-specific-0"
421,1647279882,"ArticularyWordRecognition","specific","specific",0,1,"HL","NN",95.6666648388,0.9604948759,1323068,16436.729,1339504.729,1634325,13351,"False",99.0000009537,"HL-specific-NN","ArticularyWordRecognition-specific-0"
422,1647279882,"ArticularyWordRecognition","specific","specific",0,1,"HL","RF",91.6666666667,0,1323068,1228.298,1324296.298,1634325,13351,"False",97,"HL-specific-RF","ArticularyWordRecognition-specific-0"
427,1647281285,"ArticularyWordRecognition","specific","specific",0,1,"HpL","NN",93.9999997616,0.9551838636,1362771,16163.325,1378934.325,1634325,13351,"False",99.0000009537,"HpL-specific-NN","ArticularyWordRecognition-specific-0"
428,1647281285,"ArticularyWordRecognition","specific","specific",0,1,"HpL","RF",91.6666666667,0,1362771,1284.478,1364055.478,1634325,13351,"False",97,"HpL-specific-RF","ArticularyWordRecognition-specific-0"
429,1647290336,"ArticularyWordRecognition","specific","specific",0,1,"HpTR50L","NN",98.0000019073,0.9759172201,4610498,16891.971,4627389.971,1634325,18093,"False",98.6666679382,"HpTR50L-specific-NN","ArticularyWordRecognition-specific-0"
430,1647290336,"ArticularyWordRecognition","specific","specific",0,1,"HpTR50L","RF",95.6666666667,0,4610498,1327.234,4611825.234,1634325,18093,"False",99,"HpTR50L-specific-RF","ArticularyWordRecognition-specific-0"
431,1647298750,"ArticularyWordRecognition","specific","specific",0,1,"HpTR75L","NN",98.0000019073,0.9785065651,3974346,16711.786,3991057.786,1634325,18066,"False",99.0000009537,"HpTR75L-specific-NN","ArticularyWordRecognition-specific-0"
432,1647298750,"ArticularyWordRecognition","specific","specific",0,1,"HpTR75L","RF",95,0,3974346,1329.002,3975675.002,1634325,18066,"False",99,"HpTR75L-specific-RF","ArticularyWordRecognition-specific-0"
423,1647285664,"ArticularyWordRecognition","specific","specific",0,1,"HTR50L","NN",97.3333358765,0.9759749174,4335891,17526.879,4353417.879,1634325,18093,"False",98.6666679382,"HTR50L-specific-NN","ArticularyWordRecognition-specific-0"
424,1647285664,"ArticularyWordRecognition","specific","specific",0,1,"HTR50L","RF",95.3333333333,0,4335891,1390.893,4337281.893,1634325,18093,"False",99,"HTR50L-specific-RF","ArticularyWordRecognition-specific-0"
425,1647294712,"ArticularyWordRecognition","specific","specific",0,1,"HTR75L","NN",98.0000019073,0.9810698032,4313316,16927.129,4330243.129,1634325,18066,"False",99.0000009537,"HTR75L-specific-NN","ArticularyWordRecognition-specific-0"
426,1647294712,"ArticularyWordRecognition","specific","specific",0,1,"HTR75L","RF",96,0,4313316,1299.29,4314615.29,1634325,18066,"False",99.3333333333,"HTR75L-specific-RF","ArticularyWordRecognition-specific-0"
