com_id	community_size	N_flanked	N_islands	hotspots	pdf_filename	N_cargo_groups	N_flanking_groups	N_Defence_cargo_groups	N_Defence_flanking_groups	N_Virulence_cargo_groups	N_Virulence_flanking_groups	N_Anti-defence_cargo_groups	N_Anti-defence_flanking_groups	N_AMR_cargo_groups	N_AMR_flanking_groups	Defence_cargo_normalised	Virulence_cargo_normalised	Anti-defence_cargo_normalised	AMR_cargo_normalised
0	1	1	70	0-0	0-0.pdf	63	12	16	0	1	0	0	0	0	0	0.254	0.0159	0.0	0.0
1	1	1	67	0-1	0-1.pdf	40	22	5	0	0	0	0	0	0	0	0.125	0.0	0.0	0.0
