Var1,Var2
r_0001,10000000
r_0002,10000000
r_0003,3.36
r_0004,10000000
r_0005,10000000
r_0006,-171.22
r_0007,1.21
r_0012,-2.01
r_0013,10000000
r_0014,-8.48
r_0015,-20.82
r_0016,-9.45
r_0017,-33.73
r_0018,0.2
r_0019,-11.31
r_0020,-2.68
r_0021,-19.73
r_0022,-80.83
r_0023,-1.48
r_0024,-9.72
r_0025,-10.4
r_0026,4.11
r_0027,1.47
r_0028,-12.59
r_0029,-2.3
r_0030,-1.62
r_0032,8.41
r_0033,-21.02
r_0034,-21.01
r_0035,-13.67
r_0036,-19.64
r_0037,-19.64
r_0038,-21.17
r_0039,-8.48
r_0040,-6.72
r_0041,-8.85
r_0042,-2.75
r_0043,-41.44
r_0044,0.98
r_0045,-13.21
r_0057,2.11
r_0058,-74.12
r_0059,-4.16
r_0060,0.06
r_0061,5.82
r_0062,-3.69
r_0063,-1.46
r_0064,-3.69
r_0065,9.83
r_0066,-16.45
r_0067,-32.22
r_0068,-1.35
r_0069,8.76
r_0070,10000000
r_0072,-3.69
r_0073,-17.66
r_0074,10000000
r_0075,-10.8
r_0076,7.11
r_0077,22.48
r_0078,7.11
r_0079,-20.7
r_0080,-8.88
r_0081,-0.31
r_0082,-17.66
r_0083,9.55
r_0084,-28.81
r_0085,-6.4
r_0086,-8.16
r_0087,0.62
r_0088,17.66
r_0089,17.66
r_0090,-16.73
r_0091,-6.66
r_0092,-17.66
r_0093,10000000
r_0094,0.22
r_0095,-5.32
r_0096,-8.85
r_0097,-9.45
r_0099,10000000
r_0100,10000000
r_0101,10000000
r_0102,-7.06
r_0103,7.06
r_0104,7.06
r_0105,-7.06
r_0106,-7.06
r_0107,-7.06
r_0108,-4.46
r_0109,-3.92
r_0111,-8.38
r_0112,-16.11
r_0113,-16.54
r_0114,-16.28
r_0115,-8.01
r_0116,10000000
r_0117,-0
r_0118,0.39
r_0119,-30.3
r_0120,-15.16
r_0121,-15.16
r_0122,-15.16
r_0123,10000000
r_0124,-15.16
r_0125,-15.16
r_0126,-3.61
