ID,SMILES,standardized_smiles
Suspect1,COc1ccc(CCCCO)cc1,COc1ccc(CCCCO)cc1
Suspect10,C1=CC2=C(C(=C1)O)N=CC=C2,Oc1cccc2cccnc12
Suspect100,CCOP(Oc1c(C)cc(cc1C(C)(C)C)C(C)(C)C)Oc1c(C)cc(cc1C(C)(C)C)C(C)(C)C,CCOP(Oc1c(C)cc(C(C)(C)C)cc1C(C)(C)C)Oc1c(C)cc(C(C)(C)C)cc1C(C)(C)C
Suspect102,C[C@@H]1CC2C3CCC4=CC(=O)C=CC4(C)[C@@]3(F)C(O)CC2(C)C1C(=O)CO,C[C@@H]1CC2C3CCC4=CC(=O)C=CC4(C)[C@@]3(F)C(O)CC2(C)C1C(=O)CO
Suspect103,CCCCCCCCCCCCCCCC(=O)NCCNC(=O)CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC(=O)NCCNC(=O)CCCCCCCCCCCCCCC
Suspect104,COc1ccc(cc1OC)C(CCCN)(C#N)C(C)C,COc1ccc(C(C#N)(CCCN)C(C)C)cc1OC
Suspect105,CCCCCCCCCCCCCCCCOCC(O)CO,CCCCCCCCCCCCCCCCOCC(O)CO
Suspect108,CCCCCCCCOP(=O)(OCCCCCCCC)OCCCCCCCC,CCCCCCCCOP(=O)(OCCCCCCCC)OCCCCCCCC
Suspect109,CCCCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)[O-],CCCCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)[O-]
Suspect11,CC(=O)Nc1ccccc1,CC(=O)Nc1ccccc1
Suspect110,[Na+].CCCCOCCOCC([O-])=O,CCCCOCCOCC(=O)[O-]
Suspect112,CCCCCCCCC(=O)N,CCCCCCCCC(N)=O
Suspect113,NC1=C(C(=NN1c1c(Cl)cc(cc1Cl)C(F)(F)F)C#N)S(=O)(=O)C(F)(F)F,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)(=O)C(F)(F)F
Suspect114,[OH-].[Na+].[Na+].CCCCCCCCCCCC1=NCC[N+]1(CCOCC([O-])=O)CC([O-])=O,CCCCCCCCCCCC1=NCC[N+]1(CCOCC(=O)[O-])CC(=O)[O-]
Suspect116,OC(=O)C[C@H](NCCN[C@@H](CC(O)=O)C(O)=O)C(O)=O,O=C(O)C[C@H](NCCN[C@@H](CC(=O)O)C(=O)O)C(=O)O
Suspect118,CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O
Suspect119,Cc1ccccc1NCCN,Cc1ccccc1NCCN
Suspect12,CC(C1CCCC(C1)(C)C)OC(C)(C)COC(=O)C2CC2,CC(OC(C)(C)COC(=O)C1CC1)C1CCCC(C)(C)C1
Suspect120,C[C@H]1CCCC[C@H]1C,C[C@@H]1CCCC[C@@H]1C
Suspect121,Nc1c(O)ccc(c1)c1ccccc1,Nc1cc(-c2ccccc2)ccc1O
Suspect125,OS(=O)(=O)c1ccc(CCCCCCCC(=O)O)cc1,O=C(O)CCCCCCCc1ccc(S(=O)(=O)O)cc1
Suspect128,CCCCCC1=C(CC(=O)OC)CCC1=O,CCCCCC1=C(CC(=O)OC)CCC1=O
Suspect129,OC(c1ccc(Nc2ccccc2)cc1)(c1ccc(Nc2ccccc2)cc1)c1ccc(Nc2ccccc2)cc1,OC(c1ccc(Nc2ccccc2)cc1)(c1ccc(Nc2ccccc2)cc1)c1ccc(Nc2ccccc2)cc1
Suspect13,CCCCNS(=O)(=O)c1ccccc1,CCCCNS(=O)(=O)c1ccccc1
Suspect130,NC(C(=O)N)C(=O)N,NC(=O)C(N)C(N)=O
Suspect131,OC(=O)/C(=Cc1ccccc1)/C#N,N#CC(=Cc1ccccc1)C(=O)O
Suspect134,CCCCC1(CC)COP(Oc2c(cc(cc2C(C)(C)C)C(C)(C)C)C(C)(C)C)OC1,CCCCC1(CC)COP(Oc2c(C(C)(C)C)cc(C(C)(C)C)cc2C(C)(C)C)OC1
Suspect137,ClC1=NC=CC=C1C#N,N#Cc1cccnc1Cl
Suspect138,COC(=O)c1cc(cc(c1)[S](O)(=O)=O)C(=O)OC,COC(=O)c1cc(C(=O)OC)cc(S(=O)(=O)O)c1
Suspect14,OCCOCCOCCOCCOCCO,OCCOCCOCCOCCOCCO
Suspect140,COC(=O)CCCCCCCCC=C,C=CCCCCCCCCC(=O)OC
Suspect142,COC(=O)CCC(=O)O,COC(=O)CCC(=O)O
Suspect143,CCCCCCCCCCCCCCC(=O)OCC(O)CO,CCCCCCCCCCCCCCC(=O)OCC(O)CO
Suspect145,Oc1cccc(C=O)c1,O=Cc1cccc(O)c1
Suspect147,OC(=O)C1(CC2CC1C1CCCC21)c1ccc(O)cc1,O=C(O)C1(c2ccc(O)cc2)CC2CC1C1CCCC21
Suspect148,CCCCCCCCCCCCc1c(N)nc(N)nc1N,CCCCCCCCCCCCc1c(N)nc(N)nc1N
Suspect149,C1(C(CN(C)C)CCC(O)C1)(O)c2cc(OC)ccc2O,COc1ccc(O)c(C2(O)CC(O)CCC2CN(C)C)c1
Suspect15,CCCCCCCCCCCC(=O)NCCOCCO,CCCCCCCCCCCC(=O)NCCOCCO
Suspect153,[NH3+]C[C@@H](O)CC(=O)[O-],[NH3+]C[C@@H](O)CC(=O)[O-]
Suspect157,COC(=O)CCCCC(=O)O,COC(=O)CCCCC(=O)O
Suspect159,Cc1cc2c(CCC2)c(C)c1O,Cc1cc2c(c(C)c1O)CCC2
Suspect16,CCC(=O)OCC(C)(C)OC(C)C1CCCC(C)(C)C1,CCC(=O)OCC(C)(C)OC(C)C1CCCC(C)(C)C1
Suspect160,CCCCCCCCCCCC(=O)OCC12COCN1COC2,CCCCCCCCCCCC(=O)OCC12COCN1COC2
