Systematic_name,Standard_name,Uniprot_id
YAL001C,TFC3,P34111
YAL002W,VPS8,P39702
YAL003W,EFB1,P32471
YAL005C,SSA1,P10591
YAL007C,ERP2,P39704
YAL008W,FUN14,P18411
YAL009W,SPO7,P18410
YAL010C,MDM10,P18409
YAL011W,SWC3,P31376
YAL012W,CYS3,P31373
YAL013W,DEP1,P31385
YAL014C,SYN8,P31377
YAL015C,NTG1,P31378
YAL016W,TPD3,P31383
YAL017W,PSK1,P31374
YAL018C,LDS1,P31379
YAL019W,FUN30,P31380
YAL020C,ATS1,P31386
YAL021C,CCR4,P31384
YAL022C,FUN26,P31381
YAL023C,PMT2,P31382
YAL024C,LTE1,P07866
YAL025C,MAK16,P10962
YAL026C,DRS2,P39524
YAL027W,SAW1,P39735
YAL028W,FRT2,P39734
YAL029C,MYO4,P32492
YAL030W,SNC1,P31109
YAL031C,GIP4,P39732
YAL032C,PRP45,P28004
YAL033W,POP5,P28005
YAL034W-A,MTW1,P39731
YAL035W,FUN12,P39730
YAL036C,RBG1,P39729
YAL037W,,P39728
YAL038W,CDC19,P00549
YAL039C,CYC3,P06182
YAL040C,CLN3,P13365
YAL041W,CDC24,P11433
YAL042W,ERV46,P39727
YAL043C,PTA1,Q01329
YAL044C,GCV3,P39726
YAL045C,,P39725
YAL046C,BOL3,P39724
YAL047C,SPC72,P39723
YAL048C,GEM1,P39722
YAL049C,AIM2,P39721
YAL051W,OAF1,P39720
YAL053W,FLC2,P39719
YAL054C,ACS1,Q01574
YAL055W,PEX22,P39718
YAL056W,GPB2,P39717
YAL058W,CNE1,P27825
YAL059W,ECM1,P39715
YAL060W,BDH1,P39714
YAL061W,BDH2,P39713
YAL062W,GDH3,P39708
YAL063C,FLO9,P39712
YAL064W,,O13512
YAL066W,,P39710
YAL067C,SEO1,P39709
YAR002W,NUP60,P39705
YAR003W,SWD1,P39706
YAR007C,RFA1,P22336
YAR008W,SEN34,P39707
YAR014C,BUD14,P27637
YAR015W,ADE1,P27616
YAR018C,KIN3,P22209
YAR019C,CDC15,P27636
YAR020C,PAU7,P39545
YAR023C,,D6VPM8
YAR027W,UIP3,P39547
YAR028W,,P39548
YAR029W,,P39549
YAR031W,PRM9,P39551
YAR033W,MST28,P39552
YAR035W,YAT1,P80235
YAR042W,SWH1,P35845
YAR047C,,P39557
YAR050W,FLO1,P32768
YAR053W,,P39559
YAR060C,,P0CX88
YAR064W,,P39563
YAR068W,,P39564
YAR069C,,P0CX92
YAR070C,,P39566
YAR071W,PHO11,P35842
YAR073W,IMD1,P39567
YBL001C,ECM15,P35195
YBL002W,HTB2,P02294
YBL003C,HTA2,P04912
YBL004W,UTP20,P35194
YBL005W,PDR3,P33200
YBL006C,LDB7,P38210
YBL007C,SLA1,P32790
YBL008W,HIR1,P32479
YBL009W,ALK2,P32789
YBL010C,,P32788
YBL011W,SCT1,P32784
YBL012C,,P38209
YBL013W,FMT1,P32785
YBL014C,RRN6,P32786
YBL015W,ACH1,P32316
YBL016W,FUS3,P16892
YBL017C,PEP1,P32319
YBL018C,POP8,P38208
YBL019W,APN2,P38207
YBL020W,RFT1,P38206
YBL021C,HAP3,P13434
YBL022C,PIM1,P36775
YBL023C,MCM2,P29469
YBL024W,NCL1,P38205
YBL025W,RRN10,P38204
YBL026W,LSM2,P38203
YBL027W,RPL19B,P0CX83
YBL028C,,P38202
YBL029W,,P38201
YBL030C,PET9,P18239
YBL031W,SHE1,P38200
YBL032W,HEK2,P38199
YBL033C,RIB1,P38066
YBL034C,STU1,P38198
YBL035C,POL12,P38121
YBL036C,,P38197
YBL037W,APL3,P38065
YBL038W,MRPL16,P38064
YBL039C,URA7,P28274
YBL040C,ERD2,P18414
YBL041W,PRE7,P23724
YBL042C,FUI1,P38196
YBL043W,ECM13,P38195
YBL044W,,P38194
YBL045C,COR1,P07256
YBL046W,PSY4,P38193
YBL047C,EDE1,P34216
YBL048W,RRT1,P38192
YBL049W,MOH1,P38191
YBL050W,SEC17,P32602
YBL051C,PIN4,P34217
YBL052C,SAS3,P34218
YBL053W,,P38190
YBL054W,TOD6,P34219
YBL055C,,P34220
YBL056W,PTC3,P34221
YBL057C,PTH2,P34222
YBL058W,SHP1,P34223
YBL059W,,P34224
YBL060W,YEL1,P34225
YBL061C,SKT5,P34226
YBL062W,,P38189
YBL063W,KIP1,P28742
YBL064C,PRX1,P34227
YBL065W,,P38188
YBL066C,SEF1,P34228
YBL067C,UBP13,P38187
YBL068W,PRS4,P38063
YBL069W,AST1,P35183
YBL070C,,P38186
YBL071C,,P38185
YBL072C,RPS8A,P0CX39
YBL073W,,P38184
YBL074C,AAR2,P32357
YBL075C,SSA3,P09435
YBL076C,ILS1,P09436
YBL077W,,P38183
YBL078C,ATG8,P38182
YBL079W,NUP170,P38181
YBL080C,PET112,P33893
YBL081W,,P38180
YBL082C,ALG3,P38179
YBL083C,,P38178
YBL084C,CDC27,P38042
YBL085W,BOI1,P38041
YBL086C,,P38177
YBL087C,RPL23A,P0CX41
YBL088C,TEL1,P38110
YBL089W,AVT5,P38176
YBL090W,MRP21,P38175
YBL091C,MAP2,P38174
YBL092W,RPL32,P38061
YBL093C,ROX3,P25046
YBL094C,,P38173
YBL095W,MRX3,P38172
YBL096C,,P38171
YBL097W,BRN1,P38170
YBL098W,BNA4,P38169
YBL099W,ATP1,P07251
YBL100C,,P38168
YBL101C,ECM21,P38167
YBL102W,SFT2,P38166
YBL103C,RTG3,P38165
YBL104C,SEA4,P38164
YBL105C,PKC1,P24583
YBL106C,SRO77,P38163
YBL107C,MIX23,P38162
YBL108W,,P38161
YBR001C,NTH2,P35172
YBR002C,RER2,P35196
YBR003W,COQ1,P18900
YBR004C,GPI18,P38211
YBR005W,RCR1,P38212
YBR006W,UGA2,P38067
YBR007C,DSF2,P38213
YBR008C,FLR1,P38124
YBR009C,HHF1,P02309
YBR010W,HHT1,P61830
YBR011C,IPP1,P00817
YBR012C,,P38214
YBR013C,,P38215
YBR014C,GRX7,P38068
YBR015C,MNN2,P38069
YBR016W,,P38216
YBR017C,KAP104,P38217
YBR018C,GAL7,P08431
YBR019C,GAL10,P04397
YBR020W,GAL1,P04385
YBR021W,FUR4,P05316
YBR022W,POA1,P38218
YBR023C,CHS3,P29465
YBR024W,SCO2,P38072
YBR025C,OLA1,P38219
YBR026C,ETR1,P38071
YBR027C,,P38220
YBR028C,YPK3,P38070
YBR029C,CDS1,P38221
YBR030W,RKM3,P38222
YBR031W,RPL4A,P10664
YBR032W,,P38223
YBR033W,EDS1,P38073
YBR034C,HMT1,P38074
YBR035C,PDX3,P38075
YBR036C,CSG2,P35206
YBR037C,SCO1,P23833
YBR038W,CHS2,P14180
YBR039W,ATP3,P38077
YBR040W,FIG1,P38224
YBR041W,FAT1,P38225
YBR042C,CST26,P38226
YBR043C,QDR3,P38227
